ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
72,09jOFqEs6Gg,1,Never Gonna Give You Up,Rick Astley,00:05:32,332,00:09:06,214
73,09jOFqEs6Gg,2,君は薔薇より美しい(Kimiwa Barayori Utsukushii),布施明,00:11:03,663,00:14:40,217
74,09jOFqEs6Gg,3,年下の男の子(Toshishita no Otoko no Ko),キャンディーズ,00:16:06,966,00:19:30,204
75,09jOFqEs6Gg,4,La vie en rose,Édith Piaf,00:21:25,1285,00:24:34,189
76,09jOFqEs6Gg,5,いとしのエリー(Itoshi no Ellie),サザンオールスターズ,00:26:30,1590,00:30:45,255
77,09jOFqEs6Gg,6,甜蜜蜜(Tian Mi Mi),鄧麗君,00:33:22,2002,00:36:59,217
78,09jOFqEs6Gg,7,Hero,Mariah Carey,00:38:52,2332,00:42:59,247
79,09jOFqEs6Gg,8,ズルい女(Zurui Onna),シャ乱Q,00:45:35,2735,00:49:36,241
80,09jOFqEs6Gg,9,Me & Mr. Jones,Amy Winehouse,00:52:48,3168,00:55:16,148
81,09jOFqEs6Gg,10,星間飛行(Seikan Hikou),ランカ·リー,00:57:15,3435,01:01:03,228
82,09jOFqEs6Gg,11,I’m a Slave 4 U,Britney Spears,01:03:30,3810,01:06:52,202
83,09jOFqEs6Gg,12,渚のシンドバッド(Nagisa No Sinbad),ピンク・レディー,01:08:24,4104,01:10:53,149
84,09jOFqEs6Gg,13,나항상 그대를(I Always Miss You),이선희,01:13:40,4420,01:17:09,209
85,09jOFqEs6Gg,14,ムーンライト伝説 (Moonlight densetsu - French Version),美少女戦士セーラームーン,01:20:24,4824,01:24:02,218
86,09jOFqEs6Gg,15,Bad,Michael Jackson,01:26:56,5216,01:30:52,236
87,09jOFqEs6Gg,16,乙女 パスタに感動(Otome Pasta ni Kandou),タンポポ,01:33:54,5634,01:38:19,265
88,09jOFqEs6Gg,17,Ave Maria,Franz Schubert,01:42:39,6159,01:47:04,265
89,09jOFqEs6Gg,18,Don't Stop Me Now,Queen,01:50:58,6658,01:54:37,219
90,09jOFqEs6Gg,19,恋におちて -Fall in love-(Koi Ni Ochite -Fall In love-),小林明子,01:58:09,7089,02:03:07,298
91,09jOFqEs6Gg,20,ビリビリ Be with U,Kaminari Clara,02:05:39,7539,02:10:07,268
