ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
97,16yHGKMJOs0,1,My Old Man's a Dustman,Unknown Artist,00:07:57,477,00:11:24,207
98,16yHGKMJOs0,2,Nancy Whiskey,Unknown Artist,00:14:03,843,00:16:46,163
99,16yHGKMJOs0,3,Lily the Pink,Unknown Artist,00:19:40,1180,00:23:59,259
100,16yHGKMJOs0,4,Blame It on the Weatherman,B*Witched,00:27:25,1645,00:30:55,210
101,16yHGKMJOs0,5,The Unicorn,Unknown Artist,00:33:20,2000,00:36:44,204
102,16yHGKMJOs0,6,The Orange and the Green,Unknown Artist,00:38:59,2339,00:41:31,152
103,16yHGKMJOs0,7,The Black Velvet Band,Unknown Artist,00:43:03,2583,00:46:22,199
104,16yHGKMJOs0,8,Muirsheen Durkin,Unknown Artist,00:48:15,2895,00:50:13,118
105,16yHGKMJOs0,9,Years May Come Years May Go,Unknown Artist,00:52:05,3125,00:55:53,228
106,16yHGKMJOs0,10,Zombie,Unknown Artist,01:01:45,3705,01:06:00,255
107,16yHGKMJOs0,11,Goodnight Irene,Unknown Artist,01:08:39,4119,01:11:00,141
108,16yHGKMJOs0,12,Drunken Sailor,Unknown Artist,01:12:00,4320,01:14:40,160
