TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Teardrops On My Guitar,Taylor Swift,00:14:06,00:17:55,229,1Ny_GSVvBw0
2,Crazy in Love,Beyonce,00:20:37,00:24:38,241,1Ny_GSVvBw0
3,The Trolley Song,Judy Garland,00:26:41,00:29:40,179,1Ny_GSVvBw0
4,Starman,David Bowie,00:31:48,00:36:00,252,1Ny_GSVvBw0
5,Eet,Regina Spektor,00:37:53,00:41:47,234,1Ny_GSVvBw0
6,anna ni issho datta no ni,See-Saw,00:43:43,00:48:48,305,1Ny_GSVvBw0
7,yuzurenai negai,田村直美 (Naomi Tamura),00:52:48,00:56:44,236,1Ny_GSVvBw0
8,Join Us for a Bite,JT Music,01:00:12,01:03:48,216,1Ny_GSVvBw0
9,Copacabana (At the Copa),Barry Manilow,01:07:24,01:11:11,227,1Ny_GSVvBw0
10,Lady Marmalade,Labelle,01:16:44,01:21:08,264,1Ny_GSVvBw0
11,CHANGE THE WORLD,V6,01:22:37,01:27:27,290,1Ny_GSVvBw0
12,Bohemian Rhapsody,Queen,01:29:15,01:35:10,355,1Ny_GSVvBw0
13,RADIO GA GA,Queen,01:37:30,01:41:34,244,1Ny_GSVvBw0
14,Livin’ on a Prayer,Bon Jovi,01:43:38,01:47:50,252,1Ny_GSVvBw0
15,Deliver Us,The Prince of Egypt OST,01:49:38,01:54:56,318,1Ny_GSVvBw0
16,tong hua,光良 (Michael Wong),01:58:25,02:02:27,242,1Ny_GSVvBw0
17,mikazuki,絢香 (Ayaka),02:03:18,02:07:50,272,1Ny_GSVvBw0
18,Heathers: The Musical,Unknown Artist,02:10:12,02:12:55,163,1Ny_GSVvBw0
19,"Look At Me, I'm Sandra Dee",Grease,02:13:47,02:16:57,190,1Ny_GSVvBw0
20,Summer Nights,Grease,02:18:09,02:21:43,214,1Ny_GSVvBw0
