ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1682,8L0Oxg8eBe8,1,Perfect,Simple Plan,00:08:01,481,00:12:26,265
1683,8L0Oxg8eBe8,2,Alone Again,Gilbert O'Sullivan,00:22:33,1353,00:26:02,209
1684,8L0Oxg8eBe8,3,How To Save A Life,The Fray,00:33:02,1982,00:36:21,199
1685,8L0Oxg8eBe8,4,Wonderwall,Oasis,00:39:55,2395,00:43:41,226
1686,8L0Oxg8eBe8,5,Puff The Magic Dragon,"Peter, Paul and Mary",00:53:02,3182,00:56:28,206
1687,8L0Oxg8eBe8,6,Wake Me Up When September Ends,Green Day,00:58:31,3511,01:02:52,261
1688,8L0Oxg8eBe8,7,Bridge Over Troubled Water,Simon & Garfunkel,01:04:38,3878,01:09:23,285
1689,8L0Oxg8eBe8,8,Rainbow Connection,Kermit the Frog (Jim Henson),01:18:10,4690,01:21:25,195
1690,8L0Oxg8eBe8,9,Fine on the Outside,Priscilla Ahn,01:23:52,5032,01:27:59,247
1691,8L0Oxg8eBe8,10,The Winner Takes It All,ABBA,01:34:15,5655,01:38:55,280
1692,8L0Oxg8eBe8,11,Childhood,Michael Jackson,01:41:24,6084,01:45:48,264
1693,8L0Oxg8eBe8,12,Return to Pooh Corner,Kenny Loggins,01:47:24,6444,01:51:38,254
1694,8L0Oxg8eBe8,13,Matilda,Harry Styles,01:53:05,6785,01:57:05,240
1695,8L0Oxg8eBe8,14,In My Daughter's Eyes,Martina McBride,01:58:08,7088,02:01:19,191
1696,8L0Oxg8eBe8,15,Audition (The Fools Who Dream),Emma Stone (La La Land),02:09:12,7752,02:12:59,227
1697,8L0Oxg8eBe8,16,Breathe Me,Sia,02:13:49,8029,02:17:38,229
1698,8L0Oxg8eBe8,17,Flagpole Sitta,Harvey Danger,02:22:45,8565,02:26:21,216
