ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
180,9SqOrppK_Jo,1,Femininomenon,Chappell Roan,00:14:59,899,00:18:39,220
181,9SqOrppK_Jo,2,Everytime We Touch,Cascada,00:36:48,2208,00:40:09,201
182,9SqOrppK_Jo,3,Romance no Kamisama,Kohmi Hirose,00:43:00,2580,00:47:29,269
183,9SqOrppK_Jo,4,I LOVE YOU,Chris Hart,00:48:48,2928,00:53:59,311
184,9SqOrppK_Jo,5,It's Oh So Quiet,Björk,00:58:02,3482,01:01:38,216
185,9SqOrppK_Jo,6,Sandy,John Travolta,01:06:06,3966,01:08:38,152
186,9SqOrppK_Jo,7,Saigo no Ame,Yasushi Nakanishi,01:11:27,4287,01:16:09,282
187,9SqOrppK_Jo,8,Xue Mao Jiao,Xiao Pan Pan & Xiao Feng Feng,01:18:08,4688,01:21:34,206
188,9SqOrppK_Jo,9,Low,Flo Rida,01:24:22,5062,01:28:14,232
189,9SqOrppK_Jo,10,Fansa,HoneyWorks,01:30:57,5457,01:35:11,254
190,9SqOrppK_Jo,11,"""""You See"""" sung by Boxxy",danielson742,01:37:03,5823,01:39:41,158
191,9SqOrppK_Jo,12,Unchained Melody,The Righteous Brothers,01:41:42,6102,01:45:22,220
192,9SqOrppK_Jo,13,Mellow,Spacekats,01:49:17,6557,01:52:18,181
193,9SqOrppK_Jo,14,Grease,Frankie Valli,01:54:30,6870,01:57:42,192
