ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
258,BIrIkV5QspU,1,Combat Baby Song,Metric,00:07:51,471,00:11:22,211
259,BIrIkV5QspU,2,The Giver,Chappell Roan,00:15:04,904,00:18:33,209
260,BIrIkV5QspU,3,Don’t Forget Me,SMASH Cast,00:23:08,1388,00:26:21,193
261,BIrIkV5QspU,4,Like a Star,Corinne Bailey Rae,00:28:38,1718,00:32:37,239
262,BIrIkV5QspU,5,Lachryma,Ghost,00:32:47,1967,00:37:18,271
263,BIrIkV5QspU,6,Vienna,Billy Joel,00:40:20,2420,00:43:45,205
264,BIrIkV5QspU,7,My All,Mariah Carey,00:43:51,2631,00:47:41,230
265,BIrIkV5QspU,8,Bridge Over Troubled Water,Simon & Garfunkel,00:50:20,3020,00:55:16,296
266,BIrIkV5QspU,9,A Cruel Angel's Thesis,Yoko Takahashi,00:59:03,3543,01:03:15,252
267,BIrIkV5QspU,10,Heal the World,Michael Jackson,01:07:05,4025,01:12:26,321
268,BIrIkV5QspU,11,Careless Whisper,George Michael (Postmodern Jukebox cover),01:17:15,4635,01:20:57,222
269,BIrIkV5QspU,12,さよなら夏の日 (Sayonara Natsu No Hi),山下達郎 (Tatsuro Yamashita),01:23:00,4980,01:27:28,268
270,BIrIkV5QspU,13,End of the World,Miley Cyrus,01:30:26,5426,01:34:23,237
271,BIrIkV5QspU,14,Don’t Dream It’s Over,Crowded House,01:34:50,5690,01:38:33,223
272,BIrIkV5QspU,15,Unexpected Song (Song and Dance),Bernadette Peters,01:39:16,5956,01:42:44,208
273,BIrIkV5QspU,16,Breathe,In The Heights (Original Broadway Company and Mandy Gonzalez),01:44:03,6243,01:47:48,225
274,BIrIkV5QspU,17,Johanna (Sweeney Todd),"Jamie Campbell Bower, Johnny Depp, and Laura Michelle Kelly",01:48:11,6491,01:50:04,113
275,BIrIkV5QspU,18,When I Look At You,The Scarlet Pimpernel,01:50:14,6614,01:54:12,238
276,BIrIkV5QspU,19,You Stupid B*tch,Crazy Ex-Girlfriend Cast,01:57:18,7038,01:59:53,155
277,BIrIkV5QspU,20,とびら開けて (Love is an Open Door),Kanda Sayaka and Tsuda Eisuke (Anna and Hans),02:00:11,7211,02:02:12,121
278,BIrIkV5QspU,21,"Dance: Ten, Looks: Three (A Chorus Line)",Audrey Landers,02:04:01,7441,02:06:49,168
279,BIrIkV5QspU,22,Snuff Out the Light (Yzma's Song),Eartha Kitt,02:07:50,7670,02:11:25,215
280,BIrIkV5QspU,23,Poor Unfortunate Souls (Disney's The Little Mermaid),Pat Carroll,02:13:16,7996,02:16:57,221
