ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
294,BSoEutZH4p4,1,Un-Break My Heart,Toni Braxton,00:04:18,258,00:08:55,277
295,BSoEutZH4p4,2,Losing Grip,Avril Lavigne,00:10:17,617,00:13:56,219
296,BSoEutZH4p4,3,Killing Me Softly with His Song,Lori Lieberman,00:15:27,927,00:20:18,291
297,BSoEutZH4p4,4,Life for Rent,Dido,00:22:37,1357,00:26:22,225
298,BSoEutZH4p4,5,What's My Name?,Rihanna ft. Drake,00:28:27,1707,00:32:54,267
299,BSoEutZH4p4,6,알고 싶어요 (I Want To Know),이선희 (Lee Sun-hee),00:35:40,2140,00:39:12,212
300,BSoEutZH4p4,7,依然愛你 (Yi Ran Ai Ni | Still In Love With You),王力宏 (Wang Leehom),00:41:27,2487,00:45:30,243
301,BSoEutZH4p4,8,"Bills, Bills, Bills",Destiny's Child,00:48:45,2925,00:52:32,227
302,BSoEutZH4p4,9,From The Start,Laufey,00:55:47,3347,00:58:14,147
303,BSoEutZH4p4,10,Dragostea Din Tei,O-Zone,01:00:54,3654,01:04:29,215
304,BSoEutZH4p4,11,Let's Save The Earth,NSP,01:09:02,4142,01:12:17,195
305,BSoEutZH4p4,12,Lip Gloss,Lil Mama,01:13:34,4414,01:16:58,204
306,BSoEutZH4p4,13,I Own A Car,NSP,01:18:09,4689,01:20:38,149
307,BSoEutZH4p4,14,First Date,NSP,01:22:27,4947,01:25:12,165
308,BSoEutZH4p4,15,Ghost of Chicago,Noah Floersch,01:28:44,5324,01:30:28,104
309,BSoEutZH4p4,16,Out There,"Tony Jay, Tom Hulce ( 1:31:13 )",01:32:17,5537,01:35:07,170
310,BSoEutZH4p4,17,God Help the Outcasts,Heidi Mollenhauer,01:36:11,5771,01:39:48,217
311,BSoEutZH4p4,18,Once Upon a December,Liz Callaway,01:40:41,6041,01:43:38,177
312,BSoEutZH4p4,19,Poor Unfortunate Souls,Pat Carroll,01:44:11,6251,01:47:57,226
313,BSoEutZH4p4,20,Part of Your World,Jodi Benson,01:48:35,6515,01:51:57,202
