ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
282,BpsrXrv4YBY,1,Balalaika,Koharu Kusumi,00:19:43,1183,00:23:18,215
283,BpsrXrv4YBY,2,Kokoro no Tamago,Buono!,00:24:49,1489,00:28:47,238
284,BpsrXrv4YBY,3,Fansa,honeyworks,00:39:32,2372,00:43:42,250
285,BpsrXrv4YBY,4,Happy birthday?,Unknown Artist,01:02:25,3745,01:02:55,30
286,BpsrXrv4YBY,5,Learn To Meow,(Xiao Pan Pan & Xiao Feng Feng),01:21:55,4915,01:25:25,210
287,BpsrXrv4YBY,6,夜明けのMEW,Kyouko Koizumi,01:26:39,5199,01:30:22,223
288,BpsrXrv4YBY,7,愛すクリ〜ムとＭｙプリン (Aisu Cream to My Purin),美勇伝 (V-u-den),01:32:21,5541,01:36:15,234
289,BpsrXrv4YBY,8,100回のKISS,松浦亜弥 (Aya Matsuura),01:37:14,5834,01:41:48,274
290,BpsrXrv4YBY,9,Kawaikute gomen,HoneyWorks,01:58:38,7118,02:02:16,218
291,BpsrXrv4YBY,10,what does the cat says?,Unknown Artist,02:10:12,7812,02:10:44,32
292,BpsrXrv4YBY,11,From the Start,Laufey,02:19:35,8375,02:22:23,168
293,BpsrXrv4YBY,12,Fukai Mori,Do As Infinity,02:24:01,8641,02:28:02,241
