TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,How Far,Martina McBride,00:08:50,00:12:36,226,Bu8bkjtQUkI
2,When You Say You Love Me,Clay Aiken,00:14:07,00:18:13,246,Bu8bkjtQUkI
3,Weak,SWV,00:20:59,00:25:55,296,Bu8bkjtQUkI
4,Tasogare no Bay City (黄昏のBAY CITY),Junko Yagami (八神純子),00:27:34,00:32:04,270,Bu8bkjtQUkI
5,Magic Ways,Tatsuro Yamashita (山下達郎),00:32:13,00:36:53,280,Bu8bkjtQUkI
6,Matilda,Harry Styles,00:38:44,00:42:40,236,Bu8bkjtQUkI
7,Koi Ni Ochite (Fall in love) (恋におちて),Akiko Kobayashi (小林明子),00:45:36,00:50:39,303,Bu8bkjtQUkI
8,kabutomushi (カブトムシ),aiko,00:51:08,00:56:18,310,Bu8bkjtQUkI
9,Mephisto (メフィスト),Queen Bee,00:58:10,01:01:55,225,Bu8bkjtQUkI
10,Concrete Angel,Martina McBride,01:03:11,01:07:10,239,Bu8bkjtQUkI
11,Día de Enero,Shakira,01:07:36,01:10:22,166,Bu8bkjtQUkI
12,A Million Miles Away,Adam Jacobs & Courtney Reed (Aladdin The Musical),01:13:20,01:16:39,199,Bu8bkjtQUkI
13,Despacito,Luis Fonsi (Justin Bieber),01:18:13,01:22:04,231,Bu8bkjtQUkI
14,Don't Cry for Me Argentina,Madonna,01:23:09,01:28:32,323,Bu8bkjtQUkI
15,Hallelujah,Leonard Cohen (John Cale),01:29:54,01:33:27,213,Bu8bkjtQUkI
16,Southpaw (サウスポー),Pink Lady,01:34:01,01:37:39,218,Bu8bkjtQUkI
17,Out There,Tom Hulce & Tony Jay (Hunchback of Notre Dame),01:38:15,01:41:04,169,Bu8bkjtQUkI
18,Rehab,Amy Winehouse,01:45:20,01:48:55,215,Bu8bkjtQUkI
19,"Sugar, We're Going Down Kung-Fu Fighting",Fall Out Boy x Carl Douglas mashup,01:53:34,01:57:01,207,Bu8bkjtQUkI
