ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
372,E10DeMSK_Ys,1,Under the Sea,Samuel E. Wright (The little mermaid),00:10:08,608,00:13:48,220
373,E10DeMSK_Ys,2,Coppertone,Hellogoodbye,00:17:40,1060,00:20:26,166
374,E10DeMSK_Ys,3,Dear Jamie...Sincerely Me,Hellogoodbye,00:22:00,1320,00:25:16,196
375,E10DeMSK_Ys,4,The Thoughts That Give Me the Creeps,Hellogoodbye,00:28:45,1725,00:31:36,171
376,E10DeMSK_Ys,5,When We First Met,Hellogoodbye,00:33:52,2032,00:36:31,159
377,E10DeMSK_Ys,6,Over the Rainbow,IZ,00:39:33,2373,00:42:32,179
378,E10DeMSK_Ys,7,The Moon Song,Karen O,00:47:37,2857,00:49:33,116
379,E10DeMSK_Ys,8,Guiltless,Dodie,00:53:05,3185,00:55:42,157
380,E10DeMSK_Ys,9,Monster,Dodie,00:56:33,3393,01:00:18,225
381,E10DeMSK_Ys,10,Would You Be So Kind?,Dodie,01:02:10,3730,01:04:35,145
382,E10DeMSK_Ys,11,In the Middle,Dodie,01:07:21,4041,01:10:02,161
383,E10DeMSK_Ys,12,La Vie en rose,Édith Piaf,01:12:25,4345,01:15:00,155
384,E10DeMSK_Ys,13,you are my sunshine,Christina Perri,01:15:55,4555,01:17:13,78
385,E10DeMSK_Ys,14,From the Start,Laufey,01:18:50,4730,01:21:18,148
