ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
451,FHhWfxZfTG4,1,24-hour Cinderella (２４時間シンデレラ),Goro Majima,00:08:08,488,00:09:54,106
452,FHhWfxZfTG4,2,Fly Me to the Moon,Frank Sinatra,00:17:20,1040,00:21:52,272
453,FHhWfxZfTG4,3,"Baby, It's Fact",Hellogoodbye,00:26:53,1613,00:30:08,195
454,FHhWfxZfTG4,4,My All,Mariah Carey,00:36:22,2182,00:40:12,230
455,FHhWfxZfTG4,5,Body Better,Maisie Peters,00:44:16,2656,00:47:29,193
456,FHhWfxZfTG4,6,One Of Your Girls,Troye Sivan,00:49:43,2983,00:52:41,178
457,FHhWfxZfTG4,7,Too Sweet,Hozier,00:52:46,3166,00:56:54,248
458,FHhWfxZfTG4,8,Careless Whispers,George Michael,00:59:37,3577,01:04:45,308
459,FHhWfxZfTG4,9,A Few Small Bruises,Maria Mena,01:06:47,4007,01:10:39,232
460,FHhWfxZfTG4,10,More Than Words,Extreme,01:13:46,4426,01:19:16,330
