ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
461,FhrBXfDuB1k,1,Mickey,Toni Basil,00:11:49,709,00:15:12,203
462,FhrBXfDuB1k,2,Can't We Be Skibidi?,Unknown Artist,00:17:12,1032,00:19:07,115
463,FhrBXfDuB1k,3,Johanna,Sweeney Todd,00:23:21,1401,00:25:15,114
464,FhrBXfDuB1k,4,The Worst Pies in London,Sweeney Todd,00:27:42,1662,00:30:14,152
465,FhrBXfDuB1k,5,Unexpected Song,Andrew Lloyd Webber's Song and Dance,00:31:41,1901,00:35:11,210
466,FhrBXfDuB1k,6,"Dance Ten, Looks Three",A Chorus Line,00:37:58,2278,00:40:47,169
467,FhrBXfDuB1k,7,Payphone,Maroon 5,00:44:46,2686,00:48:41,235
468,FhrBXfDuB1k,8,Dead Mom,Beetlejuice the Musical,00:51:15,3075,00:54:17,182
469,FhrBXfDuB1k,9,When Will My Life Begin? (Tangled),Mandy Moore,00:55:13,3313,00:57:42,149
470,FhrBXfDuB1k,10,All in Love Is Fair,Stevie Wonder,00:59:02,3542,01:02:42,220
471,FhrBXfDuB1k,11,The Way You Look Tonight,Fred Astaire,01:04:53,3893,01:09:42,289
472,FhrBXfDuB1k,12,Love Is an Open Door (Japanese version),Frozen,01:11:15,4275,01:13:18,123
473,FhrBXfDuB1k,13,Baka Mitai,Yakuza,01:14:44,4484,01:19:33,289
474,FhrBXfDuB1k,14,The Funny Feeling,Bo Burnham,01:21:37,4897,01:28:13,396
475,FhrBXfDuB1k,15,Tears,X Japan,01:30:10,5410,01:36:44,394
476,FhrBXfDuB1k,16,Sukiyaki (Ue o Muite Arukou),Kyu Sakamoto,01:38:41,5921,01:45:30,409
477,FhrBXfDuB1k,17,Haven't Met You Yet,Michael Bublé,01:48:42,6522,01:54:10,328
478,FhrBXfDuB1k,18,Hey There Delilah,Plain White T's,01:54:37,6877,01:58:29,232
479,FhrBXfDuB1k,19,Mayonaka no Door (Stay with Me),Miki Matsubara,01:59:56,7196,02:03:04,188
