ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
520,G_z53cCQwgA,1,Dust in the Wind,Kansas,00:17:11,1031,00:20:18,187
521,G_z53cCQwgA,2,Billie Jean,Michael Jackson,00:25:58,1558,00:31:05,307
522,G_z53cCQwgA,3,Ebay,"""Weird Al"" Yankovic",00:38:07,2287,00:41:38,211
523,G_z53cCQwgA,4,Ai Oboete Imasu Ka,Mari Iijima (Macross),00:51:21,3081,00:56:27,306
524,G_z53cCQwgA,5,Titanium,David Guetta,00:59:15,3555,01:04:41,326
525,G_z53cCQwgA,6,Fukai Mori,Do As Infinity (Inuyasha),01:05:56,3956,01:09:57,241
526,G_z53cCQwgA,7,PAPERMOON,Tommy heavenly6 and Tomoko Kawase (Soul Eater),01:11:23,4283,01:15:45,262
527,G_z53cCQwgA,8,Zankoku na Tenshi no Tēze,Yoko Takahashi (Evangelion),01:18:59,4739,01:23:00,241
528,G_z53cCQwgA,9,Pepper Keibu,Pink lady,01:24:18,5058,01:27:31,193
529,G_z53cCQwgA,10,Karasu no Nyobou,Yuko Nakazawa,01:28:46,5326,01:32:18,212
530,G_z53cCQwgA,11,Heya to Y Shirt to Watashi,Hiramatsu Eri,01:33:35,5615,01:38:40,305
531,G_z53cCQwgA,12,If You Love Me,Brenda Lee,01:39:38,5978,01:42:12,154
532,G_z53cCQwgA,13,The Way You Look Tonight,Frank Sinatra,01:43:17,6197,01:47:58,281
533,G_z53cCQwgA,14,Utakata Hanabi,Supercell (Naruto),01:48:04,6484,01:54:01,357
534,G_z53cCQwgA,15,First love,Hikaru Utada,01:55:32,6932,01:59:46,254
535,G_z53cCQwgA,16,Kanashimi ga Tomaranai,Anri,02:00:42,7242,02:05:04,262
