ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
559,I-BYEPjnz2o,1,Say It Right,Nelly Furtado,00:06:42,402,00:10:36,234
560,I-BYEPjnz2o,2,Brown Eyes,Lady Gaga,00:11:45,705,00:15:52,247
561,I-BYEPjnz2o,3,What You Waiting For?,Gwen Stefani,00:17:15,1035,00:20:53,218
562,I-BYEPjnz2o,4,Wake Me Up,Evananessence,00:21:47,1307,00:25:46,239
563,I-BYEPjnz2o,5,So What,P!NK,00:30:23,1823,00:33:58,215
564,I-BYEPjnz2o,6,Numb,Linkin Park,00:34:48,2088,00:37:53,185
565,I-BYEPjnz2o,7,Teenagers,My Chemical Romance,00:39:12,2352,00:41:56,164
566,I-BYEPjnz2o,8,Kaleidoscope,Chappell Roan,00:43:50,2630,00:47:34,224
567,I-BYEPjnz2o,9,Believe,Cher,00:49:51,2991,00:54:03,252
568,I-BYEPjnz2o,10,Leave (Get Out),JoJo,00:55:03,3303,00:59:10,247
569,I-BYEPjnz2o,11,Rumors,Lindsay Lohan,00:59:51,3591,01:03:04,193
570,I-BYEPjnz2o,12,"Jump Up, Super Star",The Super Mario Players,01:05:17,3917,01:09:22,245
571,I-BYEPjnz2o,13,My Prerogative,Bobby Brown,01:11:41,4301,01:15:13,212
572,I-BYEPjnz2o,14,Kill Bill,SZA,01:15:32,4532,01:18:08,156
573,I-BYEPjnz2o,15,Call Me,Blondie,01:19:10,4750,01:22:38,208
574,I-BYEPjnz2o,16,Rolling In The Deep,Adele,01:24:20,5060,01:28:08,228
575,I-BYEPjnz2o,17,Wonderwall (Piano ver.),Oasis,01:28:52,5332,01:32:49,237
