ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
576,I4CXlHDj6zM,1,"Both Sides, Now",Joni Mitchell,00:03:23,203,00:09:06,343
577,I4CXlHDj6zM,2,Beautiful,Christina Aguilera,00:11:37,697,00:15:36,239
578,I4CXlHDj6zM,3,Say It Right,Nelly Furtado,00:17:42,1062,00:21:32,230
579,I4CXlHDj6zM,4,Can't Fight The Moonlight,LeAnn Rimes,00:23:22,1402,00:27:00,218
580,I4CXlHDj6zM,5,Head Over Heels,Tears For Fears,00:28:22,1702,00:32:24,242
581,I4CXlHDj6zM,6,It Must Have Been Love,Roxette,00:34:15,2055,00:38:30,255
582,I4CXlHDj6zM,7,You’re Still The One,Shania Twain,00:41:25,2485,00:44:42,197
583,I4CXlHDj6zM,8,プラスティック・ラブ (Plastic Love),竹内まりや (Mariya Takeuchi),00:46:07,2767,00:51:00,293
584,I4CXlHDj6zM,9,Time After Time,Cyndi Lauper,00:53:47,3227,00:57:44,237
585,I4CXlHDj6zM,10,Rolling in the Deep,Adele,01:01:33,3693,01:05:22,229
586,I4CXlHDj6zM,11,9 To 5,Dolly Parton,01:06:43,4003,01:09:45,182
587,I4CXlHDj6zM,12,Uninvited,Alanis Morissette,01:12:54,4374,01:16:46,232
588,I4CXlHDj6zM,13,Chad's Dad,(Stacy's Mom / Fountains Of Wayne) (Stacy's Dad / Sub-Radio),01:19:48,4788,01:23:06,198
589,I4CXlHDj6zM,14,Bring Me To Life,Evanescence,01:24:39,5079,01:28:40,241
590,I4CXlHDj6zM,15,Zombie,The Cranberries,01:31:24,5484,01:36:31,307
591,I4CXlHDj6zM,16,素敵だね (Suteki Da Ne),RIKKI,01:38:01,5881,01:43:30,329
592,I4CXlHDj6zM,17,Kiss Me,Sixpence None The Richer,01:45:26,6326,01:48:52,206
