ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
632,Irz0wlW2f7M,1,Weak,SWV,00:09:00,540,00:13:42,282
633,Irz0wlW2f7M,2,Isn't She Lovely,Stevie Wonder,00:14:39,879,00:16:39,120
634,Irz0wlW2f7M,3,Copacabana,Barry Manilow,00:17:40,1060,00:21:26,226
635,Irz0wlW2f7M,4,Take Me to Church,Hozier,00:23:40,1420,00:27:51,251
636,Irz0wlW2f7M,5,American Pie,Don McLean (Clara's interpretation),00:39:48,2388,00:44:10,262
637,Irz0wlW2f7M,6,You'll Never Know,"Alice Faye, Sinatra, Streisand, many others",00:47:50,2870,00:51:47,237
638,Irz0wlW2f7M,7,Your Song,Elton John,00:54:04,3244,00:58:02,238
639,Irz0wlW2f7M,8,We've Only Just Begun,Carpenters,00:59:02,3542,01:02:04,182
640,Irz0wlW2f7M,9,Dancing Queen (piano version),ABBA,01:03:55,3835,01:07:30,215
641,Irz0wlW2f7M,10,Get Happy,Judy Garland,01:09:07,4147,01:11:55,168
642,Irz0wlW2f7M,11,The Trolley Song,Judy Garland,01:13:38,4418,01:16:40,182
643,Irz0wlW2f7M,12,Glimpse of Us,Joji,01:17:51,4671,01:21:55,244
644,Irz0wlW2f7M,13,California Dreamin',The Mamas & the Papas,01:25:58,5158,01:28:36,158
645,Irz0wlW2f7M,14,"One More Time, One More Chance",Masayoshi Yamazaki (Clara's English translation),01:34:46,5686,01:40:10,324
646,Irz0wlW2f7M,15,Kiss Me,Sixpence None the Richer,01:46:50,6410,01:50:14,204
