TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Say You'll Be There,Spice Girls,00:03:39,00:07:23,224,Jcl_lHfs-2E
2,Spice Girls Medley,Spice Girls,00:15:30,00:21:07,337,Jcl_lHfs-2E
3,What's Up,4 Non Blondes,00:26:21,00:31:11,290,Jcl_lHfs-2E
4,Tears,Sabrina Carpenter,00:33:49,00:36:27,158,Jcl_lHfs-2E
5,Older Girl,1986 Omega Tribe,00:39:20,00:43:35,255,Jcl_lHfs-2E
6,Tear You Apart,She Wants Revenge,00:46:03,00:50:47,284,Jcl_lHfs-2E
7,Golden,HUNTR/X,00:53:38,00:56:50,192,Jcl_lHfs-2E
8,Tears Dry On Their Own,Amy Winehouse,00:59:42,01:02:48,186,Jcl_lHfs-2E
9,Moonlight Densetsu,Sailor Moon,01:07:00,01:09:50,170,Jcl_lHfs-2E
10,Phantom of the Opera,Phantom of the Opera,01:10:57,01:16:02,305,Jcl_lHfs-2E
11,Seventeen,Heathers: the Musical,01:16:36,01:19:51,195,Jcl_lHfs-2E
12,Barracuda,Heart,01:22:04,01:26:25,261,Jcl_lHfs-2E
13,Red Wine Supernova,Chappell Roan,01:28:02,01:31:15,193,Jcl_lHfs-2E
14,Get Happy,Judy Garland,01:33:35,01:36:23,168,Jcl_lHfs-2E
15,Livin' La Vida Loca,Ricky Martin,01:39:28,01:43:07,219,Jcl_lHfs-2E
16,Golden (2nd Try),HUNTR/X,01:44:46,01:47:59,193,Jcl_lHfs-2E
17,WAP,Cardi B feat. Megan Thee Stallion,01:49:24,01:52:33,189,Jcl_lHfs-2E
18,The Ultimate Showdown,Lemon Demon,01:52:37,01:56:13,216,Jcl_lHfs-2E
