ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
798,MNI_hUWdbeI,1,Red Wine Supernova,Chappell Roan,00:06:13,373,00:09:29,196
799,MNI_hUWdbeI,2,Futari Wa Koibito,Chisato Moritaka,00:12:46,766,00:16:54,248
800,MNI_hUWdbeI,3,Pink Pony Club,Chappell Roan,00:19:45,1185,00:24:09,264
801,MNI_hUWdbeI,4,Until I Found You,Stephen Sanchez,00:28:38,1718,00:31:31,173
802,MNI_hUWdbeI,5,She,Elvis Costello,00:35:58,2158,00:39:17,199
803,MNI_hUWdbeI,6,This Never Happened Before,Paul McCartney,00:41:14,2474,00:44:36,202
804,MNI_hUWdbeI,7,"Que Sera, Sera",Doris Day,00:50:48,3048,00:52:56,128
805,MNI_hUWdbeI,8,As the World Falls Down,David Bowie,00:54:22,3262,00:59:28,306
806,MNI_hUWdbeI,9,Love Me Like There’s No Tomorrow,Freddie Mercury,01:01:48,3708,01:05:44,236
807,MNI_hUWdbeI,10,Why Don't You Do Right?,Peggy Lee,01:07:45,4065,01:10:15,150
808,MNI_hUWdbeI,11,Let's Save The Earth,Ninja Sex Party,01:14:02,4442,01:17:10,188
809,MNI_hUWdbeI,12,HOT TO GO!,Chappell Roan,01:18:52,4732,01:22:00,188
810,MNI_hUWdbeI,13,Skyfall,Adele,01:23:55,5035,01:28:39,284
811,MNI_hUWdbeI,14,It's All Coming Back to Me Now,Celine Dion,01:31:35,5495,01:39:08,453
812,MNI_hUWdbeI,15,The winner takes it all,ABBA,01:44:25,6265,01:49:40,315
813,MNI_hUWdbeI,16,How You Remind Me,Nickelback,01:51:33,6693,01:55:16,223
814,MNI_hUWdbeI,17,My Happy Ending,Avril Lavigne,01:57:24,7044,02:01:23,239
815,MNI_hUWdbeI,18,Time Warp,The Rocky Horror Picture Show,02:04:57,7497,02:08:07,190
816,MNI_hUWdbeI,19,Ghostin,Ariana Grande,02:08:47,7727,02:12:38,231
817,MNI_hUWdbeI,20,Life on Mars?,David Bowie,02:13:09,7989,02:16:55,226
