ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
760,Med589daKQs,1,Like the Rose,B*Witched,00:20:34,1234,00:24:48,254
761,Med589daKQs,2,ダンナさまへ♡ [EN: To My Husband],Rie Kugimiya,00:29:00,1740,00:32:29,209
762,Med589daKQs,3,The Way You Make Me Feel,Michael Jackson,00:38:20,2300,00:43:28,308
763,Med589daKQs,4,From the Start,Laufey,00:53:38,3218,00:56:25,167
764,Med589daKQs,5,Business Time,Flight of the Conchords,01:05:09,3909,01:09:13,244
765,Med589daKQs,6,Daisuki!,Hirosue Ryoko,01:09:52,4192,01:14:20,268
766,Med589daKQs,7,Love Me Like There's No Tomorrow,Freddie Mercury,01:20:51,4851,01:24:33,222
767,Med589daKQs,8,The Only Exception,Paramore,01:29:04,5344,01:33:31,267
768,Med589daKQs,9,To You I Belong,B*Witched,01:35:32,5732,01:38:35,183
769,Med589daKQs,10,(You Drive Me) Crazy,Britney Spears,01:40:08,6008,01:43:28,200
770,Med589daKQs,11,Valentine Kiss,Sayuri Kokusho,01:43:33,6213,01:47:29,236
771,Med589daKQs,12,Accidentally in Love,Counting Crows,01:58:18,7098,02:01:25,187
772,Med589daKQs,13,It's Not Unusual,Tom Jones,02:02:59,7379,02:05:09,130
773,Med589daKQs,14,From This Moment On,Shania Twain,02:05:17,7517,02:09:19,242
774,Med589daKQs,15,Exist for Love,AURORA,02:21:07,8467,02:25:15,248
775,Med589daKQs,16,Somebody to Love,Queen,02:26:59,8819,02:31:54,295
776,Med589daKQs,17,Touch Tank,Quinnie,02:32:18,9138,02:35:22,184
777,Med589daKQs,18,Stupid Cupid,Connie Francis,02:35:30,9330,02:37:44,134
778,Med589daKQs,19,Venus as a Boy,Björk,02:37:44,9464,02:42:19,275
779,Med589daKQs,20,You'll Never Know,"Alice Faye, Vera Lynn, et al",02:43:39,9819,02:47:02,203
780,Med589daKQs,21,"Oh, It Is Love",Hellogoodbye,02:47:27,10047,02:51:30,243
781,Med589daKQs,22,Never Gonna Give You Up,Rick Astley,02:53:49,10429,02:57:26,217
