ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
831,NgT1HbWi2s0,1,O Canada (Happy Canada Day),Various,00:05:21,321,00:06:57,96
832,NgT1HbWi2s0,2,Me and Mrs Jones,Billy Paul,00:09:50,590,00:14:28,278
833,NgT1HbWi2s0,3,Turn Me On,Norah Jones,00:17:50,1070,00:20:17,147
834,NgT1HbWi2s0,4,I Try,Macy Gray,00:21:24,1284,00:25:08,224
835,NgT1HbWi2s0,5,That Don’t Impress Me Much,Shania Twain,00:25:22,1522,00:29:00,218
836,NgT1HbWi2s0,6,Stars Are Blind,Paris Hilton,00:30:51,1851,00:34:39,228
837,NgT1HbWi2s0,7,A Thousand Miles,Vanessa Carlton,00:36:03,2163,00:39:57,234
838,NgT1HbWi2s0,8,Bad,Michael Jackson (Billie Eilish Acoustic ver),00:41:00,2460,00:44:57,237
839,NgT1HbWi2s0,9,I’m with You,Avril Lavigne,00:48:05,2885,00:51:47,222
840,NgT1HbWi2s0,10,Going Under,Evanescence,00:52:51,3171,00:56:28,217
841,NgT1HbWi2s0,11,Bumble Bee,Bambee,00:57:40,3460,01:01:07,207
842,NgT1HbWi2s0,12,I Can’t Make You Love Me,Bonnie Raitt,01:01:20,3680,01:05:57,277
843,NgT1HbWi2s0,13,Angel,Sarah McLachlan,01:06:11,3971,01:10:32,261
844,NgT1HbWi2s0,14,From the Start,Laufey,01:11:00,4260,01:13:47,167
845,NgT1HbWi2s0,15,Respect,Aretha Franklin,01:15:53,4553,01:18:20,147
846,NgT1HbWi2s0,16,Perfect,Simple Plan,01:19:26,4766,01:23:59,273
847,NgT1HbWi2s0,17,Eternal Flame,The Bangles,01:25:00,5100,01:28:58,238
848,NgT1HbWi2s0,18,It’s All Been Done,Barenaked Ladies,01:31:33,5493,01:34:51,198
849,NgT1HbWi2s0,19,Vogue,Madonna,01:37:27,5847,01:42:41,314
850,NgT1HbWi2s0,20,"Jump Up, Super Star!",Kate Higgins,01:43:04,6184,01:47:04,240
851,NgT1HbWi2s0,21,(They Long to Be) Close to You,Carpenters,01:47:54,6474,01:51:39,225
852,NgT1HbWi2s0,22,Copacabana (At the Copa),Barry Manilow,01:52:49,6769,01:56:34,225
853,NgT1HbWi2s0,23,Heterosexuality,Grant & Ash,02:00:52,7252,02:01:35,43
