ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
935,OmvmI7ndEcY,1,ずっと一緒さ (Together Forever),Tatsuro Yamashita,00:09:07,547,00:13:57,290
936,OmvmI7ndEcY,2,さよなら夏の日 (Goodbye Summer Days),Tatsuro Yamashita,00:14:04,844,00:18:33,269
937,OmvmI7ndEcY,3,(いとしのエリー) Ellie My Love,Southern All Stars,00:24:48,1488,00:29:01,253
938,OmvmI7ndEcY,4,Don't Stop Believin',Journey,00:34:41,2081,00:39:06,265
939,OmvmI7ndEcY,5,Last Dance,Donna Summer,00:40:43,2443,00:44:01,198
940,OmvmI7ndEcY,6,Everybody Wants to Rule the World,Tears for Fears,00:48:40,2920,00:52:57,257
941,OmvmI7ndEcY,7,This Never Happened Before,Paul McCartney,00:57:10,3430,01:00:32,202
942,OmvmI7ndEcY,8,Reflection from Mulan,Lea Salonga,01:04:43,3883,01:07:04,141
943,OmvmI7ndEcY,9,Reflection from Mulan (Mandarin Version),Yifei Liu,01:07:28,4048,01:09:50,142
944,OmvmI7ndEcY,10,プラスティック・ラヴ (Plastic Love),Mariya Takeuchi,01:12:52,4372,01:17:40,288
945,OmvmI7ndEcY,11,How You Remind Me,Nickelback,01:19:32,4772,01:23:15,223
946,OmvmI7ndEcY,12,Moi… Lolita,Alizée,01:24:11,5051,01:28:33,262
947,OmvmI7ndEcY,13,風の色 (Colors of the Wind) from Pocahontas,Yuko Doi,01:31:02,5462,01:34:29,207
948,OmvmI7ndEcY,14,ムーンライト伝説 (Moonlight Legend) from Sailor Moon,DALI,01:37:49,5869,01:40:40,171
949,OmvmI7ndEcY,15,Espresso,Sabrina Carpenter,01:41:49,6109,01:44:41,172
950,OmvmI7ndEcY,16,알고 싶어요 (I want to know),Lee Seonhui,01:46:41,6401,01:50:11,210
951,OmvmI7ndEcY,17,I'll Never Forget You,1986 Omega Tribe,01:53:10,6790,01:58:16,306
952,OmvmI7ndEcY,18,The Subway,Chappell Roan,01:58:29,7109,02:02:34,245
953,OmvmI7ndEcY,19,California,Chappell Roan,02:05:56,7556,02:09:20,204
954,OmvmI7ndEcY,20,Kill Bill,SZA,02:09:31,7771,02:12:03,152
955,OmvmI7ndEcY,21,Manchild,Sabrina Carpenter,02:13:38,8018,02:17:02,204
956,OmvmI7ndEcY,22,Die With A Smile (Goon ver),Lady Gaga & Bruno Mars,02:17:11,8231,02:21:16,245
957,OmvmI7ndEcY,23,Kaleidoscope,Chappell Roan,02:23:44,8624,02:27:23,219
