ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
958,OubUXAbbkec,1,Little Miss Perfect,Write Out Loud,00:06:26,386,00:09:42,196
959,OubUXAbbkec,2,"Good Luck, Babe!",Chappell Roan,00:16:13,973,00:19:46,213
960,OubUXAbbkec,3,Pink Pony Club,Chappell Roan,00:22:41,1361,00:27:05,264
961,OubUXAbbkec,4,TiK ToK,Ke$ha,00:27:24,1644,00:30:44,200
962,OubUXAbbkec,5,Born This Way,Lady Gaga,00:35:23,2123,00:39:51,268
963,OubUXAbbkec,6,Goodbye Yellow Brick Road,Elton John,00:42:10,2530,00:45:26,196
964,OubUXAbbkec,7,I Kissed A Girl,Katy Perry,00:48:48,2928,00:51:47,179
965,OubUXAbbkec,8,Never Gonna Give You Up,Rick Astley,00:53:28,3208,00:57:06,218
966,OubUXAbbkec,9,Tainted Love,Soft Cell,00:59:22,3562,01:01:56,154
967,OubUXAbbkec,10,I Will Survive,Gloria Gaynor,01:02:31,3751,01:07:31,300
968,OubUXAbbkec,11,It’s Raining Men,The Weather Girls,01:09:06,4146,01:12:47,221
969,OubUXAbbkec,12,Y.M.C.A.,Village People,01:13:30,4410,01:17:13,223
970,OubUXAbbkec,13,Bohemian Rhapsody,Queen,01:17:54,4674,01:23:51,357
971,OubUXAbbkec,14,Sweet Transvestite,Tim Curry,01:25:11,5111,01:28:30,199
972,OubUXAbbkec,15,Believe,Cher,01:28:48,5328,01:32:49,241
973,OubUXAbbkec,16,Like a Prayer,Madonna,01:32:57,5577,01:38:25,328
974,OubUXAbbkec,17,Magic Dance,David Bowie,01:41:03,6063,01:45:08,245
975,OubUXAbbkec,18,One Of Your Girls,Troye Sivan,01:48:43,6523,01:51:41,178
976,OubUXAbbkec,19,Cupid (Gay Version),Edd1e,01:52:40,6760,01:55:31,171
977,OubUXAbbkec,20,Anal Beads,Pink Guy,01:59:00,7140,02:00:43,103
978,OubUXAbbkec,21,Wicked Little Town,Stephen Trask,02:00:54,7254,02:04:50,236
979,OubUXAbbkec,22,Part of Your World,Jodi Benson,02:05:07,7507,02:08:15,188
