ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1008,P3_vmsU3WnQ,1,Strong Enough,Cher,00:14:30,870,00:18:18,228
1009,P3_vmsU3WnQ,2,Come Clean,Hilary Duff,00:18:36,1116,00:22:08,212
1010,P3_vmsU3WnQ,3,Earth Song,Michael Jackson,00:25:22,1522,00:32:03,401
1011,P3_vmsU3WnQ,4,Heal the World,Michael Jackson,00:38:05,2285,00:43:31,326
1012,P3_vmsU3WnQ,5,Where Is the Love?,Black Eyed Peas,00:46:52,2812,00:50:42,230
1013,P3_vmsU3WnQ,6,Love Me Anyway,Chappell Roan,00:52:23,3143,00:56:15,232
1014,P3_vmsU3WnQ,7,Pastime Paradise,Stevie Wonder,00:56:22,3382,00:59:48,206
1015,P3_vmsU3WnQ,8,My Prerogative,Britney Spears (Original Bobby Brown),01:02:54,3774,01:06:23,209
1016,P3_vmsU3WnQ,9,Big Yellow Taxi,Counting Crows,01:06:50,4010,01:09:05,135
1017,P3_vmsU3WnQ,10,True Believer,Hayley Williams,01:09:35,4175,01:13:21,226
1018,P3_vmsU3WnQ,11,God Help the Outcasts,Heidi Mollenhauer (The Hunchback of Notre Dame),01:13:26,4406,01:17:04,218
1019,P3_vmsU3WnQ,12,The Prayer,Celine Dion and Andrea Bocelli (Quest for Camelot),01:17:35,4655,01:21:58,263
1020,P3_vmsU3WnQ,13,Baby It's Cold Outside,Dean Martin,01:23:24,5004,01:26:07,163
1021,P3_vmsU3WnQ,14,Santa Baby,Eartha Kitt,01:26:31,5191,01:29:18,167
1022,P3_vmsU3WnQ,15,Have Yourself a Merry Little Christmas,Judy Garland,01:30:16,5416,01:33:05,169
1023,P3_vmsU3WnQ,16,Home for Christmas,Maria Mena,01:34:14,5654,01:38:08,234
1024,P3_vmsU3WnQ,17,They Don't Care About Us,Michael Jackson,01:38:35,5915,01:43:19,284
1025,P3_vmsU3WnQ,18,Pink Pony Club,Chappell Roan,01:43:34,6214,01:47:58,264
1026,P3_vmsU3WnQ,19,Run to You,Whitney Houston,01:48:00,6480,01:52:17,257
1027,P3_vmsU3WnQ,20,Miracle Shopping ~ Theme of Donki Quijote ~,Maimi Tanaka (Don Qujiote),01:53:25,6805,01:57:00,215
1028,P3_vmsU3WnQ,21,Moonlight Densetsu,DALI (Sailor Moon),01:58:31,7111,02:01:23,172
1029,P3_vmsU3WnQ,22,Believe,Cher,02:02:17,7337,02:06:25,248
