ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1128,RLg3c2tPojM,1,Turn Me On,Norah Jones,00:06:56,416,00:09:27,151
1129,RLg3c2tPojM,2,I Want You Back,NSYNC,00:10:52,652,00:14:13,201
1130,RLg3c2tPojM,3,Incomplete,Backstreet Boys,00:15:32,932,00:19:24,232
1131,RLg3c2tPojM,4,Ring of Fire,Adam Lambert,00:21:32,1292,00:24:14,162
1132,RLg3c2tPojM,5,2 Become 1,Spice Girls,00:27:29,1649,00:31:19,230
1133,RLg3c2tPojM,6,Wake Me Up Before You Go-Go,Wham!,00:33:19,1999,00:37:28,249
1134,RLg3c2tPojM,7,You Oughta Know,Alanis Morissette,00:38:51,2331,00:43:03,252
1135,RLg3c2tPojM,8,My Kink Is Karma,Chappell Roan,00:45:30,2730,00:49:11,221
1136,RLg3c2tPojM,9,Eyesore,Maria Mena,00:51:02,3062,00:54:01,179
1137,RLg3c2tPojM,10,Cool,Gwen Stefani,00:56:00,3360,00:59:01,181
1138,RLg3c2tPojM,11,Hikari,Hikaru Utada,01:00:49,3649,01:05:42,293
1139,RLg3c2tPojM,12,Akai Freesia,Melon Kinenbi,01:09:55,4195,01:13:50,235
1140,RLg3c2tPojM,13,Cupid,FIFTY FIFTY,01:18:23,4703,01:21:17,174
1141,RLg3c2tPojM,14,Something,The Beatles,01:23:43,5023,01:26:41,178
1142,RLg3c2tPojM,15,Graverobbin' Boys,Kaminari Clara,01:28:11,5291,01:32:06,235
1143,RLg3c2tPojM,16,Dancing Queen,ABBA,01:34:07,5647,01:37:38,211
1144,RLg3c2tPojM,17,Chad's dad,Kaminari Clara,01:39:50,5990,01:43:07,197
1145,RLg3c2tPojM,18,Glimpse of Us,Joji (Clara version),01:44:50,6290,01:48:45,235
1146,RLg3c2tPojM,19,Loki,Kaminari Clara,01:49:38,6578,01:52:42,184
1147,RLg3c2tPojM,20,Copacabana,Barry Manilow,01:54:55,6895,01:58:39,224
1148,RLg3c2tPojM,21,Down to the River to Pray,Alison Krauss (Clara version),02:00:30,7230,02:03:25,175
