ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1218,SPmBrStNxsA,1,Space Oddity,David Bowie,00:02:20,140,00:07:03,283
1219,SPmBrStNxsA,2,Life on Mars,David Bowie,00:08:23,503,00:12:06,223
1220,SPmBrStNxsA,3,Magic Dance,David Bowie,00:13:40,820,00:17:43,243
1221,SPmBrStNxsA,4,Picture You,"Chappell Roan (Japanese version, translated by Clara)",00:20:55,1255,00:23:58,183
1222,SPmBrStNxsA,5,Misty's Song(JP),Pokemon,00:26:57,1617,00:31:10,253
1223,SPmBrStNxsA,6,Futari ha Koibito,Chisato Moritaka,00:32:12,1932,00:36:22,250
1224,SPmBrStNxsA,7,GO MY WAY!!,Satoru Kōsaki,00:37:29,2249,00:39:29,120
1225,SPmBrStNxsA,8,Ahoy!! 我ら宝鐘海賊団☆ [Ahoy!! We are Houshou Pirates☆],Houshou Marine [宝鐘マリン],00:41:35,2495,00:46:36,301
1226,SPmBrStNxsA,9,White Flag,Dido,00:47:21,2841,00:50:57,216
1227,SPmBrStNxsA,10,The Fear,Lily Allen,00:51:39,3099,00:55:02,203
1228,SPmBrStNxsA,11,Turning Japanese,The vapors,00:56:24,3384,01:00:09,225
1229,SPmBrStNxsA,12,U.S.A,Da Pump,01:00:55,3655,01:04:54,239
1230,SPmBrStNxsA,13,Snake Eater,Cynthia Harrell (MGS3),01:05:58,3958,01:08:51,173
1231,SPmBrStNxsA,14,She used to be mine,Katharine McPhee (Waitress),01:09:54,4194,01:14:18,264
1232,SPmBrStNxsA,15,Good Day(JP),IU,01:17:00,4620,01:21:38,278
1233,SPmBrStNxsA,16,Vienna,Billy Joel,01:28:51,5331,01:32:19,208
1234,SPmBrStNxsA,17,Venus As A Boy,Björk,01:32:21,5541,01:36:57,276
1235,SPmBrStNxsA,18,I Won't Last a Day Without You,Carpenters,01:38:12,5892,01:42:00,228
