ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1287,T8KkatYqwtw,1,Love is a battlefield,Pat Benatar,00:03:01,181,00:06:57,236
1288,T8KkatYqwtw,2,Black Horse And The Cherry Tree,KT Tunstall,00:12:10,730,00:15:00,170
1289,T8KkatYqwtw,3,Everything I'm Not,The Veronicas,00:17:11,1031,00:20:32,201
1290,T8KkatYqwtw,4,Honesty,Billy Joel,00:21:05,1265,00:24:59,234
1291,T8KkatYqwtw,5,Dog Days Are Over,Florence & The Machine,00:26:58,1618,00:31:06,248
1292,T8KkatYqwtw,6,The Hills Are Alive,Julie Andrews,00:31:51,1911,00:34:23,152
1293,T8KkatYqwtw,7,Smooth,Santana,00:37:46,2266,00:41:43,237
1294,T8KkatYqwtw,8,Abracadabra,Steve Miller Band,00:43:27,2607,00:48:32,305
1295,T8KkatYqwtw,9,Naïve,The Kooks,00:49:56,2996,00:53:19,203
1296,T8KkatYqwtw,10,Eternal Flame,The Bangles,00:54:55,3295,00:58:42,227
1297,T8KkatYqwtw,11,You Stupid Bitch,Crazy Ex-Girlfriends,01:03:22,3802,01:05:45,143
1298,T8KkatYqwtw,12,When He Sees Me,Waitress,01:08:00,4080,01:11:36,216
1299,T8KkatYqwtw,13,Dead Girl Walking,Heathers: The Musical,01:11:54,4314,01:15:17,203
1300,T8KkatYqwtw,14,I Will Always Love You,Whitney Houston,01:16:27,4587,01:21:04,277
1301,T8KkatYqwtw,15,All By Myself,Céline Dion & Eric Carmen,01:24:35,5075,01:29:30,295
1302,T8KkatYqwtw,16,The Beginning,ONE OK ROCK,01:35:48,5748,01:40:48,300
1303,T8KkatYqwtw,17,Pink Pony Club,Chappell Roan,01:42:50,6170,01:47:14,264
1304,T8KkatYqwtw,18,The Power of Love,Huey Lewis and the News,01:48:28,6508,01:52:21,233
1305,T8KkatYqwtw,19,Be Calm,fun,01:52:23,6743,01:56:34,251
1306,T8KkatYqwtw,20,I Love Rock ’n’ Roll,Joan Jett & the Blackhearts,01:58:51,7131,02:01:43,172
1307,T8KkatYqwtw,21,"-kung fu fighting- Sugar, We’re Goin Down",Fall Out Boy,02:02:14,7334,02:05:40,206
1308,T8KkatYqwtw,22,What is love,Haddaway,02:07:03,7623,02:11:33,270
1309,T8KkatYqwtw,23,Planet of the Bass,Kyle Gordon,02:12:01,7921,02:15:21,200
1310,T8KkatYqwtw,24,"Wow, I Can Get Sexual Too",Say Anything,02:15:30,8130,02:18:34,184
1311,T8KkatYqwtw,25,Johanna,Sweeney Todd: The Demon Barber of Fleet Street,02:21:20,8480,02:23:13,113
1312,T8KkatYqwtw,26,When I Look at You,Scarlet Pimpernel,02:23:23,8603,02:27:24,241
1313,T8KkatYqwtw,27,Geeks In Love,Lemon Demon,02:30:49,9049,02:34:11,202
1314,T8KkatYqwtw,28,Cabaret,Cabaret,02:34:59,9299,02:38:41,222
1315,T8KkatYqwtw,29,Don't Rain on My Parade,Funny Girl,02:39:24,9564,02:42:08,164
1316,T8KkatYqwtw,30,Aquarius/Let the Sunshine In,The 5th Dimension,02:42:46,9766,02:47:34,288
1317,T8KkatYqwtw,31,Girls Like Me,Girly Girl Productions,02:50:18,10218,02:52:28,130
