ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1412,VQrHDcW-u4o,1,I Like It,Enrique Iglesias,00:03:30,210,00:07:18,228
1413,VQrHDcW-u4o,2,SexyBack,Justin Timberlake,00:34:26,2066,00:38:31,245
1414,VQrHDcW-u4o,3,Maneater,Nelly Furtado,00:41:17,2477,00:45:56,279
1415,VQrHDcW-u4o,4,I Touch Myself,Divinyls,00:46:02,2762,00:49:53,231
1416,VQrHDcW-u4o,5,"Touch-a, Touch-a, Touch Me",Rocky Horror,00:50:02,3002,00:52:31,149
1417,VQrHDcW-u4o,6,sea foam.,Phase Connect,00:57:01,3421,01:01:12,251
1418,VQrHDcW-u4o,7,HOT TO GO!,Chappell Roan,01:05:53,3953,01:08:58,185
1419,VQrHDcW-u4o,8,Copacabana,Barry Manilow,01:09:05,4145,01:12:51,226
1420,VQrHDcW-u4o,9,Tequila,The Champs,01:13:02,4382,01:15:14,132
1421,VQrHDcW-u4o,10,Axel F,Crazy Frog,01:17:43,4663,01:20:31,168
1422,VQrHDcW-u4o,11,Graverobbin' Boys,Kaminari Clara,01:22:59,4979,01:26:56,237
1423,VQrHDcW-u4o,12,Chad's Dad,Kaminari Clara,01:29:11,5351,01:33:00,229
1424,VQrHDcW-u4o,13,In 1985,Kaminari Clara (Fan title),01:36:23,5783,01:38:52,149
1425,VQrHDcW-u4o,14,Chinese Food,Alison Gold,01:42:37,6157,01:46:09,212
1426,VQrHDcW-u4o,15,Loser Anthem,Kaminari Clara,01:48:50,6530,01:49:32,42
1427,VQrHDcW-u4o,16,TSUKUMEN☆LOVE,AliceProject,01:55:42,6942,01:58:26,164
1428,VQrHDcW-u4o,17,Ramen Tabetai [an attempt was made],Akiko Yano,01:58:37,7117,02:00:03,86
1429,VQrHDcW-u4o,18,Too Sweet,Hozier,02:01:12,7272,02:05:20,248
1430,VQrHDcW-u4o,19,Every Sperm Is Sacred,Monty Python,02:05:51,7551,02:10:09,258
1431,VQrHDcW-u4o,20,900 Miles An Hour,Kaminari Clara (Fan title),02:18:58,8338,02:20:40,102
1432,VQrHDcW-u4o,21,When I Was Your Man,Bruno Mars,02:22:35,8555,02:26:07,212
1433,VQrHDcW-u4o,22,We've Only Just Begun,Carpenters,02:27:12,8832,02:30:13,181
1434,VQrHDcW-u4o,23,You'll Be In My Heart,Tarzan (Phil Collins),02:30:35,9035,02:34:50,255
1435,VQrHDcW-u4o,24,Yesterday Once More,Carpenters,02:35:54,9354,02:40:07,253
1436,VQrHDcW-u4o,25,Samishii Nettaigyo,Wink,02:41:16,9676,02:45:44,268
1437,VQrHDcW-u4o,26,Kimi wa Bara Yori Utsukushii,Akira Fuse,02:50:14,10214,02:53:53,219
1438,VQrHDcW-u4o,27,Heathers the Musical (Brainrot version),Seventeen,02:55:28,10528,02:58:38,190
