TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,From This Moment On,Shania Twain,00:15:06,00:18:41,215,WJ6Jz5ALeII
2,The First Cut Is the Deepest,Sheryl Crow,00:22:23,00:26:07,224,WJ6Jz5ALeII
3,Time After Time,Cyndi Lauper,00:27:57,00:31:51,234,WJ6Jz5ALeII
4,Everywhere,Michelle Branch,00:33:13,00:36:45,212,WJ6Jz5ALeII
5,Both Sides Now,Joni Mitchell,00:39:06,00:43:20,254,WJ6Jz5ALeII
6,How to Save a Life,The Fray,00:44:14,00:48:35,261,WJ6Jz5ALeII
7,The Scientist,Coldplay,00:49:33,00:54:18,285,WJ6Jz5ALeII
8,Superstar,The Carpenters,00:57:24,01:01:10,226,WJ6Jz5ALeII
9,The Way We Were,Barbra Streisand,01:01:52,01:05:18,206,WJ6Jz5ALeII
10,"I Love You, I Honestly Love You",Olivia Newton-John,01:07:46,01:11:20,214,WJ6Jz5ALeII
11,Kaleidoscope,Chappell Roan,01:15:01,01:18:39,218,WJ6Jz5ALeII
12,Thank You,Dido,01:21:36,01:25:10,214,WJ6Jz5ALeII
13,B**,Meredith Brooks,01:26:27,01:30:30,243,WJ6Jz5ALeII
14,素直にI'm Sorry (Sunao ni I'm Sorry),Checkers,01:31:57,01:36:27,270,WJ6Jz5ALeII
15,New York New York,Frank Sinatra,01:36:41,01:40:04,203,WJ6Jz5ALeII
16,Me & Mr Jones,Amy Winehouse,01:42:44,01:45:14,150,WJ6Jz5ALeII
17,I Touch Myself,Divinyls,01:45:55,01:49:45,230,WJ6Jz5ALeII
18,Don't Stop Me Now,Queen,01:50:46,01:54:26,220,WJ6Jz5ALeII
19,What's Up,4 Non Blondes,01:56:32,01:59:25,173,WJ6Jz5ALeII
