ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1483,WKWVeZDh1no,1,The Way,Clay Aiken,00:08:54,534,00:12:57,243
1484,WKWVeZDh1no,2,I Have Nothing,Whitney Houston,00:13:04,784,00:17:55,291
1485,WKWVeZDh1no,3,My All,Mariah Carey,00:18:04,1084,00:21:53,229
1486,WKWVeZDh1no,4,Don't Stop Me Now,Queen (Clara meow version),00:27:15,1635,00:30:54,219
1487,WKWVeZDh1no,5,Xue Mao Jiao (Learn to Meow),Xiao Pan Pan & Xiao Feng Feng,00:31:16,1876,00:34:43,207
1488,WKWVeZDh1no,6,White Flag,Dido,00:34:57,2097,00:38:31,214
1489,WKWVeZDh1no,7,Nyan Cat,Hatsune Miku (daniwell),00:41:31,2491,00:41:57,26
1490,WKWVeZDh1no,8,Scatman,Scatman John,00:42:47,2567,00:46:27,220
1491,WKWVeZDh1no,9,I'm a Slave (Hag) 4 U,Britney Spears,00:46:55,2815,00:50:19,204
1492,WKWVeZDh1no,10,Piece of Me,Britney Spears,00:50:26,3026,00:53:56,210
1493,WKWVeZDh1no,11,Don't Cha,The Pussycat Dolls,00:58:07,3487,01:01:42,215
1494,WKWVeZDh1no,12,Clumsy,Fergie,01:01:57,3717,01:05:51,234
1495,WKWVeZDh1no,13,Moonlight Densetsu,DALI (Sailor Moon),01:06:44,4004,01:09:35,171
1496,WKWVeZDh1no,14,Kiss Me More,Doja Cat,01:14:05,4445,01:17:36,211
1497,WKWVeZDh1no,15,Feeling Good,Nina Simone,01:18:01,4681,01:21:54,233
1498,WKWVeZDh1no,16,Bumble Bee,Bambee,01:29:19,5359,01:32:47,208
1499,WKWVeZDh1no,17,APT.,ROSÉ & Bruno Mars,01:32:53,5573,01:35:35,162
1500,WKWVeZDh1no,18,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,01:35:45,5745,01:40:36,291
1501,WKWVeZDh1no,19,Bennie and the Jets,Elton John,01:40:48,6048,01:44:43,235
1502,WKWVeZDh1no,20,Girls Just Want To Have Fun,Cyndi Lauper,01:50:07,6607,01:54:08,241
