ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1448,WgFMZyXTHI4,1,Edge me till I goon(Fly me to the moon),Rizz Records,00:08:15,495,00:10:41,146
1449,WgFMZyXTHI4,2,Die With A Smile,Lady Gaga & Bruno Mars,00:15:20,920,00:19:28,248
1450,WgFMZyXTHI4,3,Puttin’ on the Ritz,Taco,00:23:30,1410,00:26:24,174
1451,WgFMZyXTHI4,4,My will,Dream (Inuyasha),00:30:16,1816,00:35:31,315
1452,WgFMZyXTHI4,5,Tainted love,Soft cell,00:36:24,2184,00:38:58,154
1453,WgFMZyXTHI4,6,Fever,Peggy Lee,00:40:24,2424,00:43:43,199
1454,WgFMZyXTHI4,7,Snake eater,Cynthia Harrell (MGS3),00:44:44,2684,00:47:37,173
1455,WgFMZyXTHI4,8,I want to be evil,Eartha kitt,00:52:12,3132,00:55:40,208
1456,WgFMZyXTHI4,9,Nothing’s Gonna Change My Love for You,George Benson,00:59:17,3557,01:04:07,290
1457,WgFMZyXTHI4,10,Creep,Radiohead (Cabaret style?),01:06:50,4010,01:11:33,283
1458,WgFMZyXTHI4,11,The Winner takes it all,ABBA,01:17:35,4655,01:22:01,266
1459,WgFMZyXTHI4,12,Hit the Road Jack,Ray Charles,01:26:53,5213,01:28:44,111
1460,WgFMZyXTHI4,13,I Don't Want to Miss a Thing,Aerosmith,01:31:20,5480,01:35:43,263
1461,WgFMZyXTHI4,14,Crazy,Patsy Cline,01:37:05,5825,01:39:47,162
1462,WgFMZyXTHI4,15,Can't Help Falling in Love,Elvis Presley,01:43:00,6180,01:47:14,254
1463,WgFMZyXTHI4,16,You're Still The One,Shania Twain,01:50:20,6620,01:53:34,194
