ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1568,Y6sWiUzEOo0,1,Black Sheep,Metric (Scott Pilgrim vs. the World),00:03:50,230,00:07:34,224
1569,Y6sWiUzEOo0,2,キューティーハニー,前川陽子 (Yoko Maekawa),00:09:07,547,00:11:25,138
1570,Y6sWiUzEOo0,3,You Oughta Know,Alanis Morissette,00:13:03,783,00:17:15,252
1571,Y6sWiUzEOo0,4,どんなときも。 (Donnatokimo),槇原敬之 (Noriyuki Makihara),00:18:48,1128,00:23:18,270
1572,Y6sWiUzEOo0,5,Life On Mars?,David Bowie,00:25:18,1518,00:29:04,226
1573,Y6sWiUzEOo0,6,涙そうそう (Nada sou sou | Great Tears Are Spilling),夏川りみ (Rimi Natsukawa),00:30:31,1831,00:34:48,257
1574,Y6sWiUzEOo0,7,真夜中のドア〜Stay With Me (Mayonaka no Door〜Stay With Me),松原みき (Miki Matsubara),00:36:22,2182,00:41:05,283
1575,Y6sWiUzEOo0,8,Chop Suey!,System Of A Down,00:44:25,2665,00:47:54,209
1576,Y6sWiUzEOo0,9,ハナミズキ (Hanamizuki),一青窈 (Yo Hitoto),00:49:46,2986,00:55:08,322
1577,Y6sWiUzEOo0,10,Why Don't You Do Right?,Peggy Lee,00:56:31,3391,00:59:35,184
1578,Y6sWiUzEOo0,11,好きだから (Suki Dakara),加藤いづみ (Izumi Katou),01:01:47,3707,01:05:45,238
1579,Y6sWiUzEOo0,12,Dream on,Aerosmith,01:06:17,3977,01:10:44,267
