ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1613,YZ2ilaGLcQQ,1,Graverobbin' Boys,Kaminari Clara,00:11:56,716,00:15:51,235
1614,YZ2ilaGLcQQ,2,Heart Boner / Ninja Sex Party,Ninja Sex Party,00:16:29,989,00:20:34,245
1615,YZ2ilaGLcQQ,3,Careless Whisper / George Michael,George Michael,00:21:32,1292,00:26:40,308
1616,YZ2ilaGLcQQ,4,It's Raining Men / The Weather Girls,The Weather Girls,00:27:00,1620,00:30:41,221
1617,YZ2ilaGLcQQ,5,"September (June) / Earth, Wind & Fire","Earth, Wind & Fire",00:31:29,1889,00:36:07,278
1618,YZ2ilaGLcQQ,6,Chop Suey! / System of a Down,System of a Down,00:35:45,2145,00:39:12,207
1619,YZ2ilaGLcQQ,7,Pink Pony Club,Chappell Roan (San Jose edition),00:40:05,2405,00:44:29,264
1620,YZ2ilaGLcQQ,8,Espresso / Sabrina Carpenter,Sabrina Carpenter,00:45:31,2731,00:48:24,173
1621,YZ2ilaGLcQQ,9,Fansa / Mona Narumi (Shiina Natsukawa),Mona Narumi (Shiina Natsukawa),00:50:09,3009,00:54:22,253
1622,YZ2ilaGLcQQ,10,ビリビリ Be with U,Kaminari Clara,00:54:54,3294,00:59:25,271
