ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1623,Z5-sOve4afs,1,Pocketful of Sunshine,Natasha Bedingfield,00:15:55,955,00:19:13,198
1624,Z5-sOve4afs,2,The Scientist,Coldplay,00:21:07,1267,00:26:12,305
1625,Z5-sOve4afs,3,"Good Luck, Babe!",Chappell Roan,00:28:12,1692,00:31:46,214
1626,Z5-sOve4afs,4,Wherever You Are,OK ONE ROCK,00:33:46,2026,00:38:38,292
1627,Z5-sOve4afs,5,Beauty and the Beast,Angela Lansbury,00:44:13,2653,00:47:03,170
1628,Z5-sOve4afs,6,Black Sheep,Metric (Scott Pilgrim vs. the World),00:52:51,3171,00:56:14,203
1629,Z5-sOve4afs,7,Million Years Ago,Adele,00:59:44,3584,01:03:29,225
1630,Z5-sOve4afs,8,Under the Sea,Samuel E. Wright,01:05:08,3908,01:08:21,193
1631,Z5-sOve4afs,9,LILIUM,野間久美子 (Kumiko Noma),01:11:44,4304,01:13:46,122
1632,Z5-sOve4afs,10,Hung Up,Madonna,01:15:46,4546,01:19:06,200
1633,Z5-sOve4afs,11,Snow Halation,µ's (Muse),01:21:58,4918,01:26:12,254
1634,Z5-sOve4afs,12,Alone Again (Naturally),Gilbert O'Sullivan,01:28:21,5301,01:31:58,217
1635,Z5-sOve4afs,13,I Don’t Know What We’re Talking About (And I Haven’t For A While),NSP,01:35:54,5754,01:39:39,225
1636,Z5-sOve4afs,14,依然爱你 (I Still Love You),王力宏 (Leehom Wang),01:40:27,6027,01:44:29,242
1637,Z5-sOve4afs,15,ライオン (Lion),May'n (Ft. Megumi Nakajima),01:46:09,6369,01:51:09,300
1638,Z5-sOve4afs,16,Fly Me to the Moon (Acoustic Tabs ver.),Frank Sinatra,01:52:44,6764,01:56:02,198
1639,Z5-sOve4afs,17,Mother Knows Best,Donna Murphy,01:56:54,7014,02:00:02,188
1640,Z5-sOve4afs,18,Sugar Daddy,"Cheater, John Cameron Mitchell, and Stephen Trask",02:04:23,7463,02:08:40,257
