ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1,_n1mGFuezI4,1,Wake Me Up When September Ends,Green Day,00:05:23,323,00:09:45,262
2,_n1mGFuezI4,2,I Miss You,Blink-182,00:11:32,692,00:15:20,228
3,_n1mGFuezI4,3,I Write Sins Not Tragedies,Panic At The Disco,00:17:49,1069,00:20:55,186
4,_n1mGFuezI4,4,Helena,My Chemical Romance,00:22:08,1328,00:25:36,208
5,_n1mGFuezI4,5,Mean't To Be Yours,Heathers The Musical,00:28:07,1687,00:31:38,211
6,_n1mGFuezI4,6,Here In Your Arms,Hellogoodbye,00:36:07,2167,00:39:41,214
7,_n1mGFuezI4,7,Teen Idle,Marina,00:45:56,2756,00:50:05,249
8,_n1mGFuezI4,8,Bring Me To Life,Evanescence,00:51:18,3078,00:55:23,245
9,_n1mGFuezI4,9,Eyesore,Maria Mena,00:57:08,3428,01:00:18,190
10,_n1mGFuezI4,10,Pacify Her,Melanie Martinez,01:02:46,3766,01:06:19,213
11,_n1mGFuezI4,11,Fine On The Outside,Priscilla Ahn,01:07:29,4049,01:11:37,248
12,_n1mGFuezI4,12,Needy,Ariana Grande,01:13:41,4421,01:16:25,164
13,_n1mGFuezI4,13,Hey There Delilah,Plain White T's,01:17:31,4651,01:21:32,241
14,_n1mGFuezI4,14,Jack's Lament,Danny Elfman,01:23:59,5039,01:27:13,194
15,_n1mGFuezI4,15,All The Small Things,Blink-182,01:30:06,5406,01:32:54,168
16,_n1mGFuezI4,16,4ever,The Veronicas,01:33:59,5639,01:37:26,207
17,_n1mGFuezI4,17,Feel Good Inc,Gorillaz,01:40:17,6017,01:43:59,222
18,_n1mGFuezI4,18,Nobody's Home,Avril Lavigne,01:45:36,6336,01:48:58,202
19,_n1mGFuezI4,19,Hey Ya!,Outkast,01:52:17,6737,01:55:06,169
20,_n1mGFuezI4,20,"Sugar, We're Going Down",Fall Out Boy,01:57:20,7040,02:01:03,223
21,_n1mGFuezI4,21,Fake Happy,Paramore,02:02:36,7356,02:06:30,234
22,_n1mGFuezI4,22,"Oh, it is Love",Hellogoodbye,02:07:15,7635,02:11:20,245
