ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
23,_nvK2GpetPM,1,Petit papa Noël,Unknown Artist,00:13:17,797,00:16:59,222
24,_nvK2GpetPM,2,O Holy Night,Unknown Artist,00:20:15,1215,00:24:29,254
25,_nvK2GpetPM,3,Hark! The Herald Angels Sing,Unknown Artist,00:28:28,1708,00:30:52,144
26,_nvK2GpetPM,4,Christmas Time Is Here,Vince Guaraldi,00:35:26,2126,00:37:32,126
27,_nvK2GpetPM,5,"God Rest Ye Merry, Gentlemen",Unknown Artist,00:40:17,2417,00:44:04,227
28,_nvK2GpetPM,6,The Twelve Days of Christmas,Unknown Artist,00:49:29,2969,00:53:45,256
29,_nvK2GpetPM,7,Angels We Have Heard on High,Unknown Artist (1st try),01:00:49,3649,01:01:50,61
30,_nvK2GpetPM,8,Angels We Have Heard on High,Unknown Artist (2nd try),01:02:37,3757,01:04:52,135
31,_nvK2GpetPM,9,White Christmas,Unknown Artist,01:10:23,4223,01:13:26,183
32,_nvK2GpetPM,10,It's Beginning to Look a Lot Like Christmas,Unknown Artist,01:17:36,4656,01:20:10,154
33,_nvK2GpetPM,11,The First Noel,Unknown Artist,01:20:48,4848,01:25:40,292
34,_nvK2GpetPM,12,Santa Baby,Eartha Kitt,01:31:31,5491,01:34:18,167
35,_nvK2GpetPM,13,Let It Snow! Let It Snow! Let It Snow!,Unknown Artist,01:37:45,5865,01:39:38,113
36,_nvK2GpetPM,14,The Chipmunk Song (Christmas Don't Be Late),Alvin and the Chipmunks,01:41:16,6076,01:43:37,141
37,_nvK2GpetPM,15,Jingle Bell Rock,Bobby Helms,01:44:41,6281,01:46:51,130
38,_nvK2GpetPM,16,Joy to the World,Unknown Artist,01:48:03,6483,01:50:02,119
39,_nvK2GpetPM,17,"Rudolph, the Red-Nosed Reindeer",Unknown Artist,01:53:24,6804,01:55:38,134
40,_nvK2GpetPM,18,Rockin’ Around the Christmas Tree,Brenda Lee,01:57:40,7060,01:59:44,124
41,_nvK2GpetPM,19,Feliz Navidad,José Feliciano,02:02:01,7321,02:05:04,183
42,_nvK2GpetPM,20,Have Yourself a Merry Little Christmas,Judy Garland,02:13:14,7994,02:16:02,168
43,_nvK2GpetPM,21,Silent Night,Unknown Artist,02:19:20,8360,02:23:38,258
44,_nvK2GpetPM,22,Once Upon a December,Liz Callaway,02:27:43,8863,02:30:39,176
45,_nvK2GpetPM,23,Where Are You Christmas,Faith Hill,02:31:10,9070,02:35:13,243
46,_nvK2GpetPM,24,Home for Christmas,Maria Mena,02:37:46,9466,02:41:14,208
47,_nvK2GpetPM,25,All I Want for Christmas Is You,Mariah Carey,02:41:17,9677,02:46:07,290
