ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
208,aJms5iKo9zs,1,"Check Yes, Juliet",We The Kings,00:18:00,1080,00:21:34,214
209,aJms5iKo9zs,2,M,Yui,00:23:55,1435,00:28:19,264
210,aJms5iKo9zs,3,I'm a Slave 4 U,Britney Spears,00:30:00,1800,00:33:23,203
211,aJms5iKo9zs,4,Maneater,Nelly Furtado,00:35:34,2134,00:40:11,277
212,aJms5iKo9zs,5,I Touch Myself,Divinyls,00:42:46,2566,00:46:36,230
213,aJms5iKo9zs,6,Baby Got Back,Sir Mix-a-Lot,00:58:53,3533,01:03:15,262
214,aJms5iKo9zs,7,I Know,Bust a Groove (Pinky),01:06:08,3968,01:10:01,233
215,aJms5iKo9zs,8,Without You,Harry Nilsson/Mariah Carey,01:12:00,4320,01:15:27,207
216,aJms5iKo9zs,9,California,Chappell Roan,01:17:59,4679,01:21:22,203
217,aJms5iKo9zs,10,Body Better,Maisie Peters,01:22:41,4961,01:25:54,193
218,aJms5iKo9zs,11,She Gets the Job Done,Chappell Roan,01:26:28,5188,01:29:57,209
219,aJms5iKo9zs,12,"Wow, I Can Get Sexual",Say Anything,01:30:56,5456,01:33:56,180
220,aJms5iKo9zs,13,"Nails, Hair, Hips, Heels",Todrick Hall,01:36:03,5763,01:39:56,233
221,aJms5iKo9zs,14,F*** Her Gently,Tenacious D,01:41:03,6063,01:43:04,121
222,aJms5iKo9zs,15,You're So Vain,Carly Simon,01:45:17,6317,01:49:33,256
223,aJms5iKo9zs,16,Haru Haru,BIGBANG,01:58:08,7088,02:02:22,254
224,aJms5iKo9zs,17,Lies,BIGBANG,02:02:22,7342,02:06:00,218
225,aJms5iKo9zs,18,Dong Saya Dae (start only),Boys Generally Asian,02:07:07,7627,02:07:40,33
226,aJms5iKo9zs,19,Konichiwa Bitches,Robyn,02:10:04,7804,02:12:41,157
227,aJms5iKo9zs,20,Dirrty,Christina Aguilera and Redman,02:16:07,8167,02:20:03,236
228,aJms5iKo9zs,21,My All,Mariah Carey,02:20:10,8410,02:24:03,233
229,aJms5iKo9zs,22,Loosen Up My Buttons,Pussycat Dolls,02:25:10,8710,02:28:54,224
230,aJms5iKo9zs,23,The Bad Touch,Bloodhound Gang,02:29:53,8993,02:33:35,222
