ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
333,bzvX8eQQgdI,1,Sailor Fuku wo Nugasanaide (セーラー服を脱がさないで),Onyanko Club,00:38:04,2284,00:41:43,219
334,bzvX8eQQgdI,2,I Wanna Love You,Akon,00:44:03,2643,00:48:19,256
335,bzvX8eQQgdI,3,Moonlight Densetsu (Sailor Moon OP),DALI,00:49:48,2988,00:52:38,170
336,bzvX8eQQgdI,4,CARDCAPTORS ( Cardcaptor Sakura English OP),Dave Dore,00:53:28,3208,00:54:16,48
337,bzvX8eQQgdI,5,Dragon Ball Z (Canadian English OP),Tom Keenlyside,00:54:44,3284,00:55:47,63
338,bzvX8eQQgdI,6,Fu*% It (I Don’t Want You Back),Eamon,00:57:08,3428,01:00:57,229
339,bzvX8eQQgdI,7,My Humps,Black Eyed Peas,01:01:14,3674,01:05:00,226
340,bzvX8eQQgdI,8,It Wasn’t Me,Shaggy,01:06:24,3984,01:10:03,219
341,bzvX8eQQgdI,9,WAP,Cardi B,01:11:26,4286,01:14:35,189
342,bzvX8eQQgdI,10,Casual,Chappell Roan (dedicated to Uruka),01:16:03,4563,01:19:49,226
343,bzvX8eQQgdI,11,CPR,CupcakKe,01:21:16,4876,01:24:44,208
344,bzvX8eQQgdI,12,Let's Save the Earth,NSP,01:31:45,5505,01:34:58,193
345,bzvX8eQQgdI,13,Milkshake,Kelis,01:36:46,5806,01:39:47,181
346,bzvX8eQQgdI,14,XOXOY2K,Alaska Thunderfu*k,01:41:55,6115,01:44:48,173
347,bzvX8eQQgdI,15,F*cked by a Country Boy,"Wheeler Walker, Jr.",01:51:57,6717,01:54:29,152
348,bzvX8eQQgdI,16,Motherlover,The Lonely Island ft. Justin Timberlake,01:57:24,7044,02:00:13,169
349,bzvX8eQQgdI,17,I Love You,Barney,02:01:00,7260,02:01:38,38
350,bzvX8eQQgdI,18,I’m So Happy,Janne Da Arc,02:05:05,7505,02:10:00,295
351,bzvX8eQQgdI,19,California,Chappell Roan,02:11:14,7874,02:14:38,204
