ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
352,d7ya0OW8xjA,1,Graverobbin' Boys,Kaminari Clara,00:04:20,260,00:08:51,271
353,d7ya0OW8xjA,2,Let's save the earth,NSP,00:11:50,710,00:15:02,192
354,d7ya0OW8xjA,3,First date,NSP,00:16:45,1005,00:19:29,164
355,d7ya0OW8xjA,4,Kickapoo,Tenacious D,00:21:28,1288,00:25:39,251
356,d7ya0OW8xjA,5,Creep,Radiohead,00:28:38,1718,00:32:26,228
357,d7ya0OW8xjA,6,ジュリアに傷心 (Julia ni Heartbreak),The Checkers,00:34:49,2089,00:38:45,236
358,d7ya0OW8xjA,7,아파(It Hurts) (Slow),2NE1,00:42:05,2525,00:46:17,252
359,d7ya0OW8xjA,8,Misery Business,Paramore,00:48:20,2900,00:51:47,207
360,d7ya0OW8xjA,9,Bringe me to life,Evanescence,00:54:25,3265,00:58:22,237
361,d7ya0OW8xjA,10,Every Sperm Is Sacred,Monty Python,00:59:40,3580,01:03:58,258
362,d7ya0OW8xjA,11,Galaxy Song,Monty Python,01:05:55,3955,01:07:40,105
363,d7ya0OW8xjA,12,The Moon Song,Karen O,01:10:32,4232,01:12:41,129
364,d7ya0OW8xjA,13,"Wow, I Can Get Sexual Too",Say Anything,01:15:39,4539,01:18:40,181
365,d7ya0OW8xjA,14,ルカルカ★ナイトフィーバー (Luka Luka★Night Fever),Megurine Luka,01:21:00,4860,01:24:56,236
366,d7ya0OW8xjA,15,Love Shack,The B-52's,01:28:58,5338,01:33:15,257
367,d7ya0OW8xjA,16,The Way I Are,Timbaland,01:35:06,5706,01:38:45,219
368,d7ya0OW8xjA,17,In Sleep He Sang To Me,Phantom of the opera,01:39:50,5990,01:44:08,258
369,d7ya0OW8xjA,18,Like A Prayer,Madonna,01:46:16,6376,01:51:02,286
370,d7ya0OW8xjA,19,Material Girl,Madonna,01:52:16,6736,01:56:06,230
371,d7ya0OW8xjA,20,Everybody Wants to Rule the World,Tears for Fears,02:00:17,7217,02:04:23,246
