ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
397,eLT7G1sioYw,1,Mahaloha,Yuna Ito,00:04:37,277,00:08:38,241
398,eLT7G1sioYw,2,Picture You,Chappell Roan,00:09:30,570,00:12:24,174
399,eLT7G1sioYw,3,Casual,Chappell Roan,00:12:27,747,00:16:15,228
400,eLT7G1sioYw,4,赤いフリージア (akai freesia),メロン記念日 (Melon Kinenbi),00:18:15,1095,00:22:09,234
401,eLT7G1sioYw,5,HOT TO GO!,Chappell Roan,00:24:26,1466,00:27:31,185
402,eLT7G1sioYw,6,Femininomenon,Chappell Roan,00:27:57,1677,00:31:36,219
403,eLT7G1sioYw,7,Hot N Cold,Katy Perry,00:34:30,2070,00:38:05,215
404,eLT7G1sioYw,8,Bye Bye Bye,NSYNC,00:39:04,2344,00:42:23,199
405,eLT7G1sioYw,9,WAP,Cardi B,00:44:23,2663,00:47:16,173
406,eLT7G1sioYw,10,I Like Big Butts,Sir Mix-a-Lot,00:50:02,3002,00:54:23,261
407,eLT7G1sioYw,11,Babooshka,Kate Bush,00:57:03,3423,01:00:28,205
408,eLT7G1sioYw,12,Beautiful Girls,Sean Kingston,01:01:06,3666,01:04:49,223
409,eLT7G1sioYw,13,Love Shack,The B-52's,01:06:06,3966,01:10:22,256
410,eLT7G1sioYw,14,God Only Knows,The Beach Boys,01:11:30,4290,01:14:22,172
411,eLT7G1sioYw,15,Fame,Irene Cara,01:15:04,4504,01:19:11,247
412,eLT7G1sioYw,16,Raining Men,The Weather Girls,01:19:50,4790,01:23:33,223
413,eLT7G1sioYw,17,Mambo No. 5,Lou Bega,01:24:36,5076,01:28:12,216
414,eLT7G1sioYw,18,Any Way You Want It,Journey,01:30:05,5405,01:33:25,200
415,eLT7G1sioYw,19,What's This? (The Nightmare Before Christmas)/ Danny Elfman,Unknown Artist,01:36:44,5804,01:39:47,183
416,eLT7G1sioYw,20,Livin’ la vida loca,Ricky Martin,01:43:15,6195,01:46:57,222
417,eLT7G1sioYw,21,Don't Stop Me Now,Queen,01:47:43,6463,01:51:24,221
418,eLT7G1sioYw,22,Dream On,Aerosmith,01:51:41,6701,01:56:06,265
419,eLT7G1sioYw,23,Those Magic Changes (Grease live!),Sha Na Na,01:59:42,7182,02:02:00,138
420,eLT7G1sioYw,24,Sandy (Grease),John Travolta,02:02:33,7353,02:05:05,152
421,eLT7G1sioYw,25,Hopelessly Devoted To You (Grease),Olivia Newton-John,02:06:26,7586,02:09:28,182
422,eLT7G1sioYw,26,New York,Frank Sinatra,02:10:24,7824,02:13:47,203
423,eLT7G1sioYw,27,I Don't Want to Miss a Thing,Aerosmith,02:16:18,8178,02:21:02,284
424,eLT7G1sioYw,28,Hero,Mariah Carey,02:21:59,8519,02:26:08,249
425,eLT7G1sioYw,29,Me & Mr Jones,Amy Winehouse,02:28:00,8880,02:30:30,150
426,eLT7G1sioYw,30,Killing Me Softly With His Song,Fugees,02:30:50,9050,02:35:56,306
427,eLT7G1sioYw,31,White flag,Dido,02:36:11,9371,02:39:47,216
428,eLT7G1sioYw,32,Jolene,Dolly Parton,02:40:09,9609,02:42:53,164
429,eLT7G1sioYw,33,Out There (The Hunchback of Notre Dame)/ Alan Menken,Unknown Artist,02:43:07,9787,02:45:56,169
430,eLT7G1sioYw,34,Pie Jesu,"Andrew Lloyd Webber, Sarah Brightman, Paul Miles-Kingston",02:47:41,10061,02:51:20,219
