TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Playing Favourites,Kaminari Clara,00:04:53,00:07:58,185,emnD3te7P10
2,The Star-Spangled Banner,Various,00:09:38,00:11:30,112,emnD3te7P10
3,Coffee,Chappell Roan,00:13:01,00:16:19,198,emnD3te7P10
4,I Don't Love You,My Chemical Romance,00:18:02,00:21:58,236,emnD3te7P10
5,U.S.A,Da Pump,00:22:21,00:26:19,238,emnD3te7P10
6,Firework,Katy Perry,00:27:31,00:31:17,226,emnD3te7P10
7,American Pie,Don McLean & Madonna,00:35:32,00:40:00,268,emnD3te7P10
8,F***ed by a Country Boy,"Wheeler Walker, Jr.",00:41:25,00:43:58,153,emnD3te7P10
9,Join Us for a Bite,JT Music,00:44:03,00:47:43,220,emnD3te7P10
10,The Giver,Chappell Roan,00:48:00,00:51:28,208,emnD3te7P10
11,Friday,Rebecca Black,00:54:30,00:57:56,206,emnD3te7P10
12,The Government Knows,Knower,00:59:27,01:03:11,224,emnD3te7P10
13,California,Chappell Roan,01:05:32,01:08:55,203,emnD3te7P10
14,Kaleidoscope,Chappell Roan,01:09:01,01:12:39,218,emnD3te7P10
15,Everytime We Touch,Cascada,01:14:36,01:17:57,201,emnD3te7P10
16,Lilac Wine,Miley Cyrus,01:19:51,01:23:33,222,emnD3te7P10
17,First Date,NSP,01:24:09,01:26:55,166,emnD3te7P10
18,Still Alive,Ellen McLain (GLaDOS),01:27:16,01:30:13,177,emnD3te7P10
19,Cotton Eye Joe,Rednex,01:31:04,01:34:18,194,emnD3te7P10
20,The Natural Playboy,Kaleb James (Bust a Groove),01:35:19,01:39:32,253,emnD3te7P10
