ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
497,fQvQbOAgq-U,1,Stars Are Blind,Paris Hilton,00:15:06,906,00:19:01,235
498,fQvQbOAgq-U,2,Let's Get It On,Marvin Gaye,00:23:22,1402,00:27:22,240
499,fQvQbOAgq-U,3,I Want to Be Evil,Eartha Kitt,00:30:57,1857,00:34:28,211
500,fQvQbOAgq-U,4,"Sugar, We're Goin' Down",Fall Out Boy,00:41:43,2503,00:45:12,209
501,fQvQbOAgq-U,5,Toxic,Britney Spears,00:47:42,2862,00:51:02,200
502,fQvQbOAgq-U,6,I Try,Macy Gray,00:52:29,3149,00:56:16,227
503,fQvQbOAgq-U,7,Sway,Dean Martin,01:00:00,3600,01:03:10,190
504,fQvQbOAgq-U,8,Ring of Fire,Johnny Cash,01:05:45,3945,01:08:35,170
505,fQvQbOAgq-U,9,Valerie,Amy Winehouse,01:17:12,4632,01:20:53,221
506,fQvQbOAgq-U,10,Something,The Beatles,01:25:22,5122,01:28:25,183
507,fQvQbOAgq-U,11,(They Long to Be) Close To You,Carpenters,01:30:20,5420,01:34:07,227
508,fQvQbOAgq-U,12,Kill Bill,SZA,01:40:11,6011,01:43:10,179
509,fQvQbOAgq-U,13,Fly Me To The Moon,Frank Sinatra,01:45:00,6300,01:48:19,199
510,fQvQbOAgq-U,14,Why Don't You Do Right?,Amy Irving,01:51:40,6700,01:54:09,149
511,fQvQbOAgq-U,15,I Touch Myself,Divinyls,01:55:43,6943,01:59:34,231
512,fQvQbOAgq-U,16,Like a Virgin,Madonna,02:05:52,7552,02:08:59,187
513,fQvQbOAgq-U,17,Back To Black,Amy Winehouse,02:12:50,7970,02:16:50,240
514,fQvQbOAgq-U,18,Pure Imagination,Gene Wilder,02:20:30,8430,02:24:36,246
515,fQvQbOAgq-U,19,Don't Cha,The Pussycat Dolls,02:27:29,8849,02:31:04,215
516,fQvQbOAgq-U,20,Circus,Britney Spears,02:33:27,9207,02:36:36,189
517,fQvQbOAgq-U,21,Turn Me On,Norah Jones,02:38:19,9499,02:40:51,152
518,fQvQbOAgq-U,22,If I Ain't Got You,Alicia Keys,02:41:56,9716,02:47:02,306
519,fQvQbOAgq-U,23,Picture You,Chappell Roan,02:48:53,10133,02:51:55,182
