ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
593,ihQ7ymy9yyw,1,Friday,Rebecca Black,00:02:31,151,00:05:54,203
594,ihQ7ymy9yyw,2,Friday,Rebecca Black,00:06:08,368,00:09:34,206
595,ihQ7ymy9yyw,3,Friday,Rebecca Black,00:09:49,589,00:13:15,206
596,ihQ7ymy9yyw,4,Friday (valley girl),Rebecca Black,00:13:30,810,00:16:55,205
597,ihQ7ymy9yyw,5,Nyanday,Rebeccat Black,00:17:11,1031,00:20:36,205
598,ihQ7ymy9yyw,6,Friday,Louis Armstrong and/or Fat Albert,00:20:52,1252,00:24:19,207
599,ihQ7ymy9yyw,7,Fwiday,Rebwecca Bwack,00:24:33,1473,00:27:57,204
600,ihQ7ymy9yyw,8,Fri,Rebecca,00:28:14,1694,00:31:40,206
601,ihQ7ymy9yyw,9,Friday (operatic),Rebecca Black,00:31:54,1914,00:35:20,206
602,ihQ7ymy9yyw,10,Friday (with emphasis),Rebecca Black,00:35:35,2135,00:39:01,206
603,ihQ7ymy9yyw,11,Yeahday,Rebecca Black,00:39:17,2357,00:42:41,204
604,ihQ7ymy9yyw,12,Friendless,Kaminari Clara,00:42:57,2577,00:46:23,206
605,ihQ7ymy9yyw,13,Boreday,Reborca Bork,00:46:36,2796,00:50:04,208
606,ihQ7ymy9yyw,14,Friday (spoken word),Rebecca Black,00:50:19,3019,00:53:44,205
607,ihQ7ymy9yyw,15,Graverobbin' Boys (Friday version),Kaminari Clara,00:54:00,3240,00:57:26,206
608,ihQ7ymy9yyw,16,Friday,Gnome Rebecca Black,00:57:41,3461,01:01:13,212
609,ihQ7ymy9yyw,17,Friday,Rebecca Black,01:01:22,3682,01:04:48,206
