ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
690,jWHUV9_UBZk,1,Venus as a Boy,Björk,00:16:28,988,00:21:06,278
691,jWHUV9_UBZk,2,Homage,Mild High Club,00:23:51,1431,00:26:50,179
692,jWHUV9_UBZk,3,One Of Your Girls,Troye Sivan,00:28:04,1684,00:31:25,201
693,jWHUV9_UBZk,4,Misty's Song,Pokemon,00:34:26,2066,00:38:41,255
694,jWHUV9_UBZk,5,Ne partez pas sans moi,Celine Dion,00:54:48,3288,00:57:57,189
695,jWHUV9_UBZk,6,S'il suffisait d'aimer,Celine Dion,00:59:57,3597,01:03:18,201
696,jWHUV9_UBZk,7,La Vie en rose,Edith Piaf,01:05:34,3934,01:08:48,194
697,jWHUV9_UBZk,8,Hot Limit,T.M.Revolution,01:15:40,4540,01:19:20,220
698,jWHUV9_UBZk,9,Breathe,In The Heights (Original Broadway Company and Mandy Gonzalez),01:23:20,5000,01:27:23,243
699,jWHUV9_UBZk,10,Gurenge,LiSA,01:29:50,5390,01:33:56,246
700,jWHUV9_UBZk,11,My will,Dream,01:39:20,5960,01:44:33,313
701,jWHUV9_UBZk,12,Nagisa no Sinbad,Pink Lady,01:46:49,6409,01:49:20,151
702,jWHUV9_UBZk,13,I Can't Make You Love Me,Bonnie Raitt,01:52:33,6753,01:56:51,258
703,jWHUV9_UBZk,14,Mayonaka no Door (Stay with Me),Miki Matsubara,01:58:09,7089,02:02:51,282
704,jWHUV9_UBZk,15,City of Stars,La La Land,02:04:29,7469,02:06:55,146
705,jWHUV9_UBZk,16,Good Girl Winnie Foster,Tuck Everlasting,02:10:25,7825,02:13:15,170
706,jWHUV9_UBZk,17,Snuff Out The Light (Yzma's Song),Eartha Kitt,02:15:12,8112,02:18:49,217
