ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
734,lKXAA-rnrM0,1,Geek in the Pink,Jason Mraz,00:08:25,505,00:12:19,234
735,lKXAA-rnrM0,2,Baby,Justin Bieber,00:14:01,841,00:17:00,179
736,lKXAA-rnrM0,3,Santeria,Sublime,00:20:57,1257,00:24:01,184
737,lKXAA-rnrM0,4,Umbrella,Rihanna,00:25:37,1537,00:29:45,248
738,lKXAA-rnrM0,5,Finesse (Remix),Bruno Mars & Cardi B,00:32:08,1928,00:35:46,218
739,lKXAA-rnrM0,6,"Jump Up, Super Star!",Unknown Artist,00:37:05,2225,00:41:07,242
740,lKXAA-rnrM0,7,Toxic,Britney Spears,00:44:37,2677,00:49:22,285
741,lKXAA-rnrM0,8,Hips Don't Lie,Shakira,00:54:17,3257,00:57:52,215
742,lKXAA-rnrM0,9,Valentine,Laufey,01:01:25,3685,01:04:12,167
743,lKXAA-rnrM0,10,From The Start,Laufey,01:05:43,3943,01:08:32,169
744,lKXAA-rnrM0,11,Fly Me To The Moon,Frank Sinatra,01:11:01,4261,01:13:43,162
745,lKXAA-rnrM0,12,"Komm, süsser Tod",Unknown Artist,01:15:39,4539,01:20:32,293
746,lKXAA-rnrM0,13,Turn Me On,Norah Jones,01:23:08,4988,01:25:37,149
747,lKXAA-rnrM0,14,"Theme From New York, New York",Frank Sinatra,01:26:42,5202,01:30:05,203
748,lKXAA-rnrM0,15,Bang Bang (My Baby Shot Me Down),Nancy Sinatra,01:33:54,5634,01:37:36,222
749,lKXAA-rnrM0,16,"Sparkling Diamonds (From """"Moulin Rouge"""" Soundtrack)",Unknown Artist,01:38:39,5919,01:42:09,210
750,lKXAA-rnrM0,17,Dangerous Woman,Ariana Grande,01:43:55,6235,01:47:45,230
751,lKXAA-rnrM0,18,Halo,Beyoncé,01:49:59,6599,01:55:10,311
752,lKXAA-rnrM0,19,Don't Know Why,Norah Jones,02:00:57,7257,02:04:02,185
753,lKXAA-rnrM0,20,Big Spender,Shirley Bassey,02:06:03,7563,02:07:52,109
754,lKXAA-rnrM0,21,La vie en rose,Édith Piaf,02:09:26,7766,02:12:38,192
755,lKXAA-rnrM0,22,At Last,Etta James,02:16:42,8202,02:19:42,180
756,lKXAA-rnrM0,23,Fever,Peggy Lee,02:20:14,8414,02:21:43,89
757,lKXAA-rnrM0,24,Fever,Peggy Lee [cont.],02:24:28,8668,02:26:21,113
758,lKXAA-rnrM0,25,SWEET MEMORIES,幾田りら (Ikuta Lilas),02:26:48,8808,02:30:48,240
759,lKXAA-rnrM0,26,Misty,Johnny Mathis,02:31:53,9113,02:34:46,173
