TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Playing Favourites (acapella),Kaminari Clara,00:00:17,00:02:53,156,npuN0_DM3v4
2,Complicated,Avril Lavigne,00:13:54,00:17:48,234,npuN0_DM3v4
3,I'm With You,Avril Lavigne,00:20:43,00:24:39,236,npuN0_DM3v4
4,End of the World,Miley Cyrus,00:27:29,00:31:40,251,npuN0_DM3v4
5,Fallin',Alicia Keys,00:38:31,00:42:02,211,npuN0_DM3v4
6,Fukai Mori,Do As Infinity,00:46:08,00:50:07,239,npuN0_DM3v4
7,Just the Two of Us,Grover Washington Jr. feat. Bill Withers,00:52:15,00:56:09,234,npuN0_DM3v4
8,The Cut That Always Bleeds,Conan Gray,00:56:44,01:00:33,229,npuN0_DM3v4
9,Kill Bill,SZA,01:04:43,01:07:16,153,npuN0_DM3v4
10,Weak,SWV,01:07:39,01:12:36,297,npuN0_DM3v4
11,Goddess,Laufey,01:17:09,01:21:39,270,npuN0_DM3v4
12,I Wanna Be Evil,Eartha Kitt,01:22:01,01:25:31,210,npuN0_DM3v4
13,Diamonds Are a Girl's Best Friend,Marilyn Monroe,01:25:46,01:29:17,211,npuN0_DM3v4
14,Good Girl Winnie Foster,Sarah Charles Lewis (Tuck Everlasting),01:33:14,01:36:02,168,npuN0_DM3v4
15,Bad Girls,Donna Summer,01:36:19,01:40:54,275,npuN0_DM3v4
16,Fever,Peggy Lee,01:41:13,01:44:33,200,npuN0_DM3v4
17,Mr. Brightside,The Killers,01:46:19,01:49:58,219,npuN0_DM3v4
18,Baby Got Back,Sir Mix-a-Lot,01:50:20,01:54:41,261,npuN0_DM3v4
19,Tian Mi Mi,Teresa Tang,01:55:50,01:59:29,219,npuN0_DM3v4
20,Edge Me Til I Goon (Fly Me To The Moon),Rizz Records (Frank Sinatra),02:05:10,02:07:52,162,npuN0_DM3v4
21,Red Wine & Little Wafers (Red Wine Supernova),Custom Wood Burning (Chappell Roan),02:08:53,02:12:06,193,npuN0_DM3v4
22,Jesumon (Pokémon Theme),Kaminari Clara (Pokemon),02:12:55,02:16:10,195,npuN0_DM3v4
23,God is Watching You? (My Kink is Karma),Kaminari Clara (Chappell Roan),02:16:39,02:20:22,223,npuN0_DM3v4
