ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
915,o7xmoFumiaw,1,Goddess,Laufey,00:03:47,227,00:08:15,268
916,o7xmoFumiaw,2,Promise,Laufey,00:09:12,552,00:13:04,232
917,o7xmoFumiaw,3,Let You Break My Heart Again,Laufey,00:15:30,930,00:19:55,265
918,o7xmoFumiaw,4,Coffee,Chappell Roan,00:20:04,1204,00:23:24,200
919,o7xmoFumiaw,5,Kaleidoscope,Chappell Roan,00:24:25,1465,00:28:04,219
920,o7xmoFumiaw,6,California,Chappell Roan,00:28:26,1706,00:31:51,205
921,o7xmoFumiaw,7,We've Only Just Begun,Carpenters,00:33:15,1995,00:36:15,180
922,o7xmoFumiaw,8,Rainy Days and Mondays,Carpenters,00:36:27,2187,00:40:01,214
923,o7xmoFumiaw,9,Careless Whisper,George Michael,00:40:43,2443,00:45:51,308
924,o7xmoFumiaw,10,Hopelessly Devoted To You,Olivia Newton-John,00:48:00,2880,00:51:00,180
925,o7xmoFumiaw,11,All I Ask,Adele,00:51:28,3088,00:55:58,270
926,o7xmoFumiaw,12,If I Ain't Got You,Alicia Keys,00:56:49,3409,01:00:35,226
927,o7xmoFumiaw,13,It's All Coming Back to Me Now,Celine Dion,01:00:58,3658,01:06:27,329
928,o7xmoFumiaw,14,Exist For Love,Aurora,01:07:32,4052,01:11:39,247
929,o7xmoFumiaw,15,Bring Me to Life,Evanescence,01:12:13,4333,01:15:57,224
930,o7xmoFumiaw,16,My Immortal,Evanescence,01:16:55,4615,01:21:14,259
931,o7xmoFumiaw,17,Hurt,Christina Aguilera,01:21:49,4909,01:25:49,240
932,o7xmoFumiaw,18,The Winner Takes It All,ABBA,01:26:49,5209,01:31:52,303
933,o7xmoFumiaw,19,Life On Mars,Aurora (David Bowie),01:33:21,5601,01:38:17,296
934,o7xmoFumiaw,20,La Vie En Rose,Edith Piaf,01:41:02,6062,01:44:15,193
