ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1047,qvrOO_9lWqM,1,99 Luftballons,Nena,00:05:45,345,00:09:34,229
1048,qvrOO_9lWqM,2,Perfect,Simple plan,00:11:36,696,00:16:13,277
1049,qvrOO_9lWqM,3,The Emptiness Machine,Linkin Park,00:17:03,1023,00:20:15,192
1050,qvrOO_9lWqM,4,Boulevard of Broken Dreams,Green Day,00:24:25,1465,00:28:47,262
1051,qvrOO_9lWqM,5,Jack's Lament,Danny Elfman (The nightmare before christmas),00:30:58,1858,00:34:11,193
1052,qvrOO_9lWqM,6,The reason,Hoobastank,00:36:22,2182,00:40:13,231
1053,qvrOO_9lWqM,7,Mr. Brightside,The Killers,00:41:46,2506,00:45:29,223
1054,qvrOO_9lWqM,8,Zombie,The Cranberries,00:47:48,2868,00:52:02,254
1055,qvrOO_9lWqM,9,Chop Suey!,System of a Down,00:54:05,3245,00:57:34,209
1056,qvrOO_9lWqM,10,Feel Good Inc,Gorillaz,01:01:18,3678,01:05:02,224
1057,qvrOO_9lWqM,11,Mary On A Cross,Ghost,01:06:49,4009,01:10:52,243
1058,qvrOO_9lWqM,12,Honesty,Billy Joel,01:11:50,4310,01:15:40,230
1059,qvrOO_9lWqM,13,Blood,My Chemical Romance,01:17:53,4673,01:20:35,162
1060,qvrOO_9lWqM,14,Wake Me Up When September Ends,Green Day,01:22:25,4945,01:26:50,265
1061,qvrOO_9lWqM,15,I Write Sins Not Tragedies,Panic! At The Disco,01:29:51,5391,01:32:55,184
1062,qvrOO_9lWqM,16,All The Small Things,Blink-182,01:34:21,5661,01:37:08,167
1063,qvrOO_9lWqM,17,Just the Girl,Click Five,01:40:53,6053,01:44:45,232
1064,qvrOO_9lWqM,18,Helena,my chemical romance,01:46:48,6408,01:50:17,209
1065,qvrOO_9lWqM,19,Oogie Boogie's Song,(The nightmare before christmas),01:52:47,6767,01:56:01,194
1066,qvrOO_9lWqM,20,Black Sheep,Metric (Scott Pilgrim vs. the World),01:58:43,7123,02:02:07,204
1067,qvrOO_9lWqM,21,Bring Me To Life,Evanescence,02:04:44,7484,02:08:45,241
1068,qvrOO_9lWqM,22,Eyesore,Maria Mena,02:11:18,7878,02:14:28,190
1069,qvrOO_9lWqM,23,creep,Radiohead,02:15:49,8149,02:19:45,236
1070,qvrOO_9lWqM,24,Snuff Out the Light,Eartha Kitt,02:20:46,8446,02:24:23,217
1071,qvrOO_9lWqM,25,Glimpse of Us,Joji,02:25:24,8724,02:29:20,236
1072,qvrOO_9lWqM,26,Picture You,Chappell Roan,02:30:47,9047,02:33:49,182
