ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1103,rD1j1EVYkUk,1,ファンサ,mona,00:01:59,119,00:05:46,227
1104,rD1j1EVYkUk,2,APT.,ROSÉ & Bruno Mars,00:08:29,509,00:11:16,167
1105,rD1j1EVYkUk,3,The Subway,Chappell Roan,00:12:06,726,00:16:13,247
1106,rD1j1EVYkUk,4,The Giver,Chappell Roan,00:17:50,1070,00:21:20,210
1107,rD1j1EVYkUk,5,It's All Coming Back To Me Now,Celine Dion,00:23:12,1392,00:30:47,455
1108,rD1j1EVYkUk,6,Can't Take My Eyes off You,The Four Seasons,00:34:20,2060,00:37:43,203
1109,rD1j1EVYkUk,7,Kaleidoscope,Chappell Roan,00:41:02,2462,00:44:43,221
1110,rD1j1EVYkUk,8,Espresso,Sabrina Carpenter,00:48:49,2929,00:51:43,174
1111,rD1j1EVYkUk,9,Dream A little Dream Of Me,The Mamas & the Papas,00:53:02,3182,00:56:35,213
1112,rD1j1EVYkUk,10,Stand by Me,Ben E. King,00:57:52,3472,01:00:17,145
1113,rD1j1EVYkUk,11,Be My Baby,The Ronettes,01:01:39,3699,01:04:27,168
1114,rD1j1EVYkUk,12,I try,Macy Gray,01:05:21,3921,01:09:09,228
1115,rD1j1EVYkUk,13,Wouldn't It Be Nice,The Beach Boys,01:11:26,4286,01:13:50,144
1116,rD1j1EVYkUk,14,Not Fair,Lily Allen,01:15:50,4550,01:19:10,200
1117,rD1j1EVYkUk,15,Littlest Things,Lily Allen,01:20:02,4802,01:23:03,181
1118,rD1j1EVYkUk,16,Me & Mr Jones,Amy Winehouse,01:23:11,4991,01:25:43,152
