ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1149,rOyFWr3ZkDQ,1,So Happy Together,The Turtles,00:15:12,912,00:18:16,184
1150,rOyFWr3ZkDQ,2,Valentine,Laufey,00:20:53,1253,00:23:40,167
1151,rOyFWr3ZkDQ,3,Misty's Song,Pokemon,00:36:27,2187,00:40:39,252
1152,rOyFWr3ZkDQ,4,Cupid,Fifty Fifty,00:45:59,2759,00:48:53,174
1153,rOyFWr3ZkDQ,5,As the World Falls Down,David Bowie,00:51:27,3087,00:56:13,286
1154,rOyFWr3ZkDQ,6,Dead Girl Walking,Heathers,00:57:33,3453,01:00:57,204
1155,rOyFWr3ZkDQ,7,Meant To Be Yours,Heathers,01:04:46,3886,01:08:13,207
1156,rOyFWr3ZkDQ,8,I Won't Say (I'm In Love),Hercules,01:11:20,4280,01:13:37,137
1157,rOyFWr3ZkDQ,9,Geeks in Love,Lemon Demon,01:23:02,4982,01:26:23,201
1158,rOyFWr3ZkDQ,10,Playing Favourites,Kaminari Clara,01:27:01,5221,01:30:06,185
1159,rOyFWr3ZkDQ,11,소녀시대 '오빠나빠 (Oppa Nappa),Girls' Generation,01:33:29,5609,01:37:14,225
1160,rOyFWr3ZkDQ,12,Heart Boner,Ninja Sex Party,01:41:37,6097,01:45:43,246
1161,rOyFWr3ZkDQ,13,I'm Your Treasure Box,Houshou Marine,01:49:17,6557,01:53:32,255
1162,rOyFWr3ZkDQ,14,Take My Breath Away,Berlin,01:56:56,7016,02:01:17,261
1163,rOyFWr3ZkDQ,15,Red Wine Supernova,Chappell Roan,02:07:18,7638,02:10:31,193
1164,rOyFWr3ZkDQ,16,Like a Virgin,Madonna,02:11:52,7912,02:14:58,186
1165,rOyFWr3ZkDQ,17,Loved You Before,Peach PRC,02:17:46,8266,02:20:44,178
1166,rOyFWr3ZkDQ,18,9 to 5 (Morning Train),Sheena Easton,02:22:22,8542,02:25:45,203
