ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1255,sWv7BmKOF4s,1,Sandy,John Travolta (Grease),00:30:16,1816,00:32:46,150
1256,sWv7BmKOF4s,2,Beauty School Dropout,Frankie Avalon (Grease),00:38:55,2335,00:42:42,227
1257,sWv7BmKOF4s,3,Everybody Loves Somebody,Dean Martin,00:42:51,2571,00:45:34,163
1258,sWv7BmKOF4s,4,Earth Angel (Will You Be Mine?),The Penguins (or Marvin Berry & The Starlighters),00:46:25,2785,00:49:18,173
1259,sWv7BmKOF4s,5,Don't Worry Baby,The Beach Boys,00:49:55,2995,00:52:36,161
1260,sWv7BmKOF4s,6,He's A Tramp,Peggy Lee,00:54:22,3262,00:56:22,120
1261,sWv7BmKOF4s,7,The Music of the Night,Michael Crawford (Phantom of the Opera),00:58:42,3522,01:04:07,325
1262,sWv7BmKOF4s,8,Jack's Lament,Danny Elfman (The Nightmare Before Christmas),01:04:34,3874,01:07:48,194
1263,sWv7BmKOF4s,9,Feeling Good,Michael Bublé,01:09:34,4174,01:13:13,219
1264,sWv7BmKOF4s,10,Million Years Ago,Adele,01:16:30,4590,01:20:13,223
1265,sWv7BmKOF4s,11,Let You Break My Heart Again,Laufey and London Philharmonia Orchestra,01:20:23,4823,01:24:49,266
1266,sWv7BmKOF4s,12,Have Yourself a Merry Little Christmas,Judy Garland,01:27:50,5270,01:30:37,167
1267,sWv7BmKOF4s,13,Be My Baby,The Ronettes,01:33:31,5611,01:36:13,162
1268,sWv7BmKOF4s,14,Right Here Waiting,Richard Marx,01:38:11,5891,01:42:30,259
1269,sWv7BmKOF4s,15,Un-Break My Heart,Toni Braxton,01:42:41,6161,01:47:15,274
1270,sWv7BmKOF4s,16,It Must Have Been Love,Roxette,01:47:26,6446,01:51:45,259
1271,sWv7BmKOF4s,17,Every Little Thing She Does Is Magic,The Police,01:58:56,7136,02:02:56,240
1272,sWv7BmKOF4s,18,Dream a Little Dream of Me,The Mamas & The Papas,02:03:03,7383,02:06:33,210
1273,sWv7BmKOF4s,19,Yesterday,The Beatles (Clara version),02:06:43,7603,02:08:47,124
1274,sWv7BmKOF4s,20,Nobody,Mitski,02:08:50,7730,02:12:01,191
1275,sWv7BmKOF4s,21,Iris,Goo Goo Dolls,02:14:29,8069,02:18:01,212
1276,sWv7BmKOF4s,22,Surface Pressure,Jessica Darrow (Encanto),02:18:34,8314,02:21:54,200
1277,sWv7BmKOF4s,23,Crazy,Gnarls Barkley,02:24:12,8652,02:28:07,235
1278,sWv7BmKOF4s,24,Crazy (acapella snippet),Patsy Cline,02:28:17,8897,02:28:39,22
1279,sWv7BmKOF4s,25,I'm a Slave 4 U,Britney Spears,02:28:52,8932,02:32:16,204
1280,sWv7BmKOF4s,26,Piece of Me,Britney Spears,02:32:59,9179,02:36:29,210
1281,sWv7BmKOF4s,27,Venus,Frankie Avalon,02:42:02,9722,02:44:22,140
1282,sWv7BmKOF4s,28,Pretty Little Baby,Connie Francis,02:44:36,9876,02:46:58,142
