ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1190,sli2JbuGNPY,1,18 ~My Happy Birthday Comes!~,W,01:49:02,6542,01:53:16,254
1191,sli2JbuGNPY,2,Tears,Sabrina Carpenter,01:56:46,7006,01:59:23,157
1192,sli2JbuGNPY,3,"Sugar, We’re Goin Down (Kung Fu Fighting instrumentals)",Fall Out Boy,02:00:35,7235,02:04:03,208
1193,sli2JbuGNPY,4,Picture You,Chappell Roan,02:05:13,7513,02:08:14,181
1194,sli2JbuGNPY,5,I'm a Slave 4 U,Britney Spears,02:09:09,7749,02:12:33,204
1195,sli2JbuGNPY,6,I Touch Myself,Divinyls,02:14:31,8071,02:18:21,230
1196,sli2JbuGNPY,7,Playing Favourites,Kaminari Clara,02:19:34,8374,02:22:38,184
1197,sli2JbuGNPY,8,Pink Pony Club,Chappell Roan,02:24:51,8691,02:29:15,264
1198,sli2JbuGNPY,9,Fansa,Mona Narumi (Shiina Natsukawa),02:30:21,9021,02:34:34,253
1199,sli2JbuGNPY,10,ビリビリ Be with U,Kaminari Clara,02:35:21,9321,02:39:51,270
