ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1389,vdFgSekOiKQ,1,We've Only Just Begun,Carpenters,00:05:36,336,00:08:38,182
1390,vdFgSekOiKQ,2,Thinking Of You,Katy Perry,00:10:33,633,00:14:44,251
1391,vdFgSekOiKQ,3,First Love,宇多田ヒカル (Hikaru Utada),00:17:11,1031,00:21:26,255
1392,vdFgSekOiKQ,4,The Government Knows,KNOWER,00:25:54,1554,00:29:38,224
1393,vdFgSekOiKQ,5,Pippa The Ripper,Pipkin Pippa,00:33:11,1991,00:36:30,199
1394,vdFgSekOiKQ,6,U.S.A.,DA PUMP,00:38:46,2326,00:42:43,237
1395,vdFgSekOiKQ,7,Tears,X JAPAN,00:44:46,2686,00:51:21,395
1396,vdFgSekOiKQ,8,The Ultimate Showdown of Ultimate Destiny,Lemon Demon,00:53:25,3205,00:57:01,216
1397,vdFgSekOiKQ,9,Chad's dad,(Stacy's Mom / Fountains Of Wayne) (Stacy's Dad / Sub-Radio),01:00:33,3633,01:03:50,197
1398,vdFgSekOiKQ,10,Snuff Out the Light,Eartha Kitt,01:06:23,3983,01:09:57,214
1399,vdFgSekOiKQ,11,Poor Unfortunate Souls,Pat Carroll,01:11:52,4312,01:15:37,225
1400,vdFgSekOiKQ,12,Mother Knows Best,Donna Murphy,01:16:52,4612,01:20:01,189
1401,vdFgSekOiKQ,13,So Hot,Wonder Girls,01:21:41,4901,01:24:42,181
1402,vdFgSekOiKQ,14,學貓叫 (Learn to Meow),"小潘潘 (Xiao Pan Pan) , 小峰峰 (Xiao Feng Feng | Cheney.F)",01:26:02,5162,01:29:29,207
1403,vdFgSekOiKQ,15,童話 (Tong Hua | Fairy Tale),光良 (Michael Wong),01:30:21,5421,01:34:25,244
1404,vdFgSekOiKQ,16,Dragostea Din Tei,O-ZONE,01:37:34,5854,01:41:09,215
1405,vdFgSekOiKQ,17,Get Along Together,山根康広 (Yasuhiro Yamane),01:43:44,6224,01:48:37,293
1406,vdFgSekOiKQ,18,Think of Me,Andrew Lloyd Webber - The Phantom of the Opera,01:50:26,6626,01:53:57,211
1407,vdFgSekOiKQ,19,I Won't Last A Day Without You,Carpenters,01:57:59,7079,02:01:44,225
1408,vdFgSekOiKQ,20,The Rainbow Connection,Carpenters,02:04:31,7471,02:08:21,230
1409,vdFgSekOiKQ,21,I'm Yours,Jason Mraz,02:10:39,7839,02:14:41,242
1410,vdFgSekOiKQ,22,Tears Dry On Their Own,Amy Winehouse,02:15:45,8145,02:18:52,187
1411,vdFgSekOiKQ,23,Bing Bang,"Julianna Rose Mauriello (Stephanie, LazyTown)",02:19:15,8355,02:22:30,195
