ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1503,x1zOL_6AEQ8,1,It's Time To Take a Shit on the Company’s Dime,Unknown Artist,00:37:28,2248,00:39:45,137
1504,x1zOL_6AEQ8,2,Fucked by a Country Boy,"Wheeler Walker, Jr.",00:43:03,2583,00:45:39,156
1505,x1zOL_6AEQ8,3,Down to the River to Pray,Alison Krauss,00:52:36,3156,00:55:30,174
1506,x1zOL_6AEQ8,4,Bad Oppa 오빠나빠,SNSD,01:02:42,3762,01:06:29,227
1507,x1zOL_6AEQ8,5,Candy Mountain Cave,Charlie the unicorn,01:10:30,4230,01:11:14,44
1508,x1zOL_6AEQ8,6,Foux Du Fafa,Flight Of The Conchords,01:12:21,4341,01:15:05,164
1509,x1zOL_6AEQ8,7,I'm blue,Eiffel 65,01:17:24,4644,01:22:06,282
1510,x1zOL_6AEQ8,8,"Whenever, Wherever",Shakira,01:23:14,4994,01:26:28,194
1511,x1zOL_6AEQ8,9,Oops!…I Did It Again,Britney Spears,01:30:00,5400,01:33:31,211
1512,x1zOL_6AEQ8,10,"Good Luck, Babe!",Chappell Roan,01:35:36,5736,01:39:10,214
1513,x1zOL_6AEQ8,11,Part of Your World (Japanese Version),The Little Mermaid,01:42:01,6121,01:45:10,189
1514,x1zOL_6AEQ8,12,Friend Like Me,Aladdin,01:47:34,6454,01:50:01,147
1515,x1zOL_6AEQ8,13,So in Love,"Kiss Me, Kate",01:51:53,6713,01:56:11,258
1516,x1zOL_6AEQ8,14,"Good Girl, Winnie Foster",Tuck everlasting,01:57:33,7053,02:00:31,178
1517,x1zOL_6AEQ8,15,Little Miss Perfect,Write Out Loud,02:00:56,7256,02:04:12,196
1518,x1zOL_6AEQ8,16,Moon River,Breakfast at Tiffany's,02:06:36,7596,02:10:12,216
1519,x1zOL_6AEQ8,17,Rolling in the Deep,Adele,02:13:24,8004,02:17:09,225
1520,x1zOL_6AEQ8,18,Unchained Melody,The Righteous Brothers,02:20:01,8401,02:23:39,218
1521,x1zOL_6AEQ8,19,"Suddenly, Seymour",Little shop of horrors,02:25:25,8725,02:28:48,203
