ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1537,xPl62QMvBPY,1,Espresso,Sabrina Carpenter,00:20:32,1232,00:23:25,173
1538,xPl62QMvBPY,2,King of Wishful Thinking,Go West,00:28:06,1686,00:32:18,252
1539,xPl62QMvBPY,3,Put Your Head on My Shoulder,Paul Anka,00:37:07,2227,00:39:44,157
1540,xPl62QMvBPY,4,HOT TO GO!,Chappell Roan,00:43:22,2602,00:46:26,184
1541,xPl62QMvBPY,5,Taste,Sabrina Carpenter,00:49:10,2950,00:51:53,163
1542,xPl62QMvBPY,6,Strong Enough,Cher,00:54:50,3290,00:58:38,228
1543,xPl62QMvBPY,7,The Anthem,Good Charlotte,01:02:26,3746,01:05:20,174
1544,xPl62QMvBPY,8,End of the World,Miley Cyrus,01:09:23,4163,01:13:35,252
1545,xPl62QMvBPY,9,APT.,ROSÉ & Bruno Mars,01:14:59,4499,01:17:43,164
1546,xPl62QMvBPY,10,Copacabana (At the Copa),Barry Manilow,01:19:00,4740,01:22:45,225
1547,xPl62QMvBPY,11,I Touch Myself,Divinyls,01:22:55,4975,01:26:45,230
1548,xPl62QMvBPY,12,"Bills, Bills, Bills",Destiny's Child,01:26:52,5212,01:30:38,226
1549,xPl62QMvBPY,13,Candy Shop,50 Cent and Olivia,01:34:10,5650,01:37:33,203
1550,xPl62QMvBPY,14,The Ultimate Showdown,Lemon Demon,01:37:36,5856,01:41:13,217
1551,xPl62QMvBPY,15,WAP,Cardi B and Megan Thee Stallion,01:41:24,6084,01:44:33,189
1552,xPl62QMvBPY,16,Die With A Smile,Lady Gaga and Bruno Mars,01:46:32,6392,01:50:38,246
1553,xPl62QMvBPY,17,Lovers Always Lose,Boys Go To Jupiter,01:52:15,6735,01:57:12,297
1554,xPl62QMvBPY,18,Kaleidoscope,Chappell Roan,01:57:56,7076,02:01:36,220
1555,xPl62QMvBPY,19,Ahoy!! 我ら宝鐘海賊団☆ [Ahoy!! We are Houshou Pirates☆],Houshou Marine [宝鐘マリン],02:01:53,7313,02:06:55,302
1556,xPl62QMvBPY,20,Playing Favourites,Kaminari Clara,02:08:47,7727,02:11:52,185
1557,xPl62QMvBPY,21,ビリビリ Be with U,Kaminari Clara,02:12:05,7925,02:16:35,270
1558,xPl62QMvBPY,22,Don't Stop Me Now,Queen,02:16:50,8210,02:20:29,219
1559,xPl62QMvBPY,23,Call Me (Theme From American Gigolo),Blondie,02:20:44,8444,02:24:10,206
1560,xPl62QMvBPY,24,Who’s Lovin’ You,The Jacksons,02:24:23,8663,02:28:22,239
1561,xPl62QMvBPY,25,Me & Mr Jones,Amy Winehouse,02:29:27,8967,02:31:57,150
1562,xPl62QMvBPY,26,Yellow,Coldplay,02:32:08,9128,02:36:31,263
1563,xPl62QMvBPY,27,Close to You,Carpenters,02:38:53,9533,02:42:44,231
1564,xPl62QMvBPY,28,Here You Come Again,Dolly Parton,02:44:06,9846,02:47:05,179
1565,xPl62QMvBPY,29,Turn Me On,Nina Simone,02:48:54,10134,02:51:22,148
1566,xPl62QMvBPY,30,Juice,Lizzo,02:52:43,10363,02:55:57,194
1567,xPl62QMvBPY,31,Ave Maria,Franz Schubert,02:57:00,10620,03:01:27,267
