ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1596,yPa3NWKN-C0,1,Yellow,Coldplay,00:47:17,2837,00:51:41,264
1597,yPa3NWKN-C0,2,The Scientist,Coldplay,00:52:35,3155,00:57:42,307
1598,yPa3NWKN-C0,3,Viva La Vida,Coldplay,00:59:31,3571,01:03:37,246
1599,yPa3NWKN-C0,4,Clocks,Coldplay,01:04:32,3872,01:09:46,314
1600,yPa3NWKN-C0,5,Pink Pony Club,Chappell Roan,01:13:58,4438,01:18:20,262
1601,yPa3NWKN-C0,6,Red Wine Supernova,Chappell Roan,01:19:39,4779,01:22:53,194
1602,yPa3NWKN-C0,7,"Good Luck, Babe!",Chappell Roan,01:23:35,5015,01:27:10,215
1603,yPa3NWKN-C0,8,Femininomenon,Chappell Roan,01:28:17,5297,01:31:56,219
1604,yPa3NWKN-C0,9,Psycho,Mia Rodriguez,01:36:58,5818,01:40:02,184
1605,yPa3NWKN-C0,10,Careless Whisper,George Michael,01:42:12,6132,01:46:47,275
1606,yPa3NWKN-C0,11,Just the Two of Us,Grover Washington Jr. feat. Bill Withers,01:49:18,6558,01:53:12,234
1607,yPa3NWKN-C0,12,Rainy Days And Mondays,Carpenters,01:55:07,6907,01:58:42,215
1608,yPa3NWKN-C0,13,Unchained Melody,The Righteous Brothers,02:01:36,7296,02:05:16,220
1609,yPa3NWKN-C0,14,As The World Falls Down,David Bowie,02:09:56,7796,02:14:45,289
1610,yPa3NWKN-C0,15,California Gurls,Katy Perry ft. Snoop Dogg,02:16:28,8188,02:20:25,237
1611,yPa3NWKN-C0,16,From This Moment On,Shania Twain,02:22:57,8577,02:26:59,242
1612,yPa3NWKN-C0,17,The Way We Were,Barbra Streisand,02:27:48,8868,02:31:16,208
