ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1641,zFi3Oh-nTiM,1,Girls Like Me,Girly Girl Productions,00:04:20,260,00:06:30,130
1642,zFi3Oh-nTiM,2,Spanish or Vanish,Duolingo,00:11:00,660,00:11:58,58
1643,zFi3Oh-nTiM,3,The Ketchup Song (Aserejé) [Spanglish Version],Las Ketchup,00:12:32,752,00:15:42,190
1644,zFi3Oh-nTiM,4,Hips Don't Lie,Shakira,00:18:29,1109,00:22:04,215
1645,zFi3Oh-nTiM,5,Remember Me (Lullaby),Coco,00:26:22,1582,00:27:33,71
1646,zFi3Oh-nTiM,6,World Is Mine,Ryo (Supercell),00:29:41,1781,00:33:52,251
1647,zFi3Oh-nTiM,7,My Shiny Teeth and Me (The Fairly OddParents!),Chip Skylark,00:37:07,2227,00:39:07,120
1648,zFi3Oh-nTiM,8,I Like It,Enrique Iglesias,00:41:03,2463,00:44:52,229
1649,zFi3Oh-nTiM,9,How You Remind Me,Nickelback,00:46:17,2777,00:50:00,223
1650,zFi3Oh-nTiM,10,Picture You,"Chappell Roan (Japanese version, translated by Clara)",00:52:19,3139,00:55:21,182
1651,zFi3Oh-nTiM,11,"Good Luck, Babe!",Chappell Roan (Piano version),00:56:51,3411,01:00:22,211
1652,zFi3Oh-nTiM,12,Red Wine Supernova,"Chappell Roan (Japanese version, translated by Clara)",01:01:33,3693,01:04:46,193
1653,zFi3Oh-nTiM,13,Yesterday,The Beatles (Clara version),01:05:59,3959,01:08:34,155
1654,zFi3Oh-nTiM,14,Sad song about friend that left her,Kaminari Clara (Fan title),01:13:18,4398,01:15:00,102
1655,zFi3Oh-nTiM,15,Different sad song about same friend that left her,Kaminari Clara (Fan title),01:16:08,4568,01:17:47,99
1656,zFi3Oh-nTiM,16,Bubbly,Colbie Caillat,01:21:33,4893,01:25:09,216
1657,zFi3Oh-nTiM,17,Creativity for $20.39 [2024],Kaminari Clara,01:25:48,5148,01:28:00,132
1658,zFi3Oh-nTiM,18,Just because I'm silent doesn't mean I'm not loud,Kaminari Clara (Fan title),01:30:53,5453,01:33:47,174
1659,zFi3Oh-nTiM,19,Graverobbin' Boys,Papanari feat. Kaminari Clara,01:35:18,5718,01:39:10,232
1660,zFi3Oh-nTiM,20,Strangers Like Me (Tarzan),Phil Collins,01:43:10,6190,01:46:07,177
1661,zFi3Oh-nTiM,21,Two Worlds (Tarzan),Phil Collins,01:46:40,6400,01:49:05,145
1662,zFi3Oh-nTiM,22,You'll Be In My Heart (Tarzan),Phil Collins,01:49:18,6558,01:53:33,255
1663,zFi3Oh-nTiM,23,"New York, New York","Frank Sinatra, Liza Minnelli, et al",01:56:02,6962,01:59:27,205
1664,zFi3Oh-nTiM,24,It's Tough to Be a God,The Road to El Dorado,02:00:50,7250,02:03:16,146
1665,zFi3Oh-nTiM,25,Show Me How You Burlesque,Christina Aguilera,02:04:02,7442,02:07:03,181
1666,zFi3Oh-nTiM,26,Playing with the Big Boys,The Prince of Egypt,02:08:54,7734,02:11:45,171
1667,zFi3Oh-nTiM,27,Oogie Boogie's Song,The Nightmare Before Christmas,02:12:15,7935,02:15:30,195
1668,zFi3Oh-nTiM,28,Someone Else's Story,Chess,02:17:17,8237,02:21:13,236
