ID,VIDEOID,TRACK,TITLE,ARTIST,STARTTIME,START_SECONDS,ENDTIME,DURATION
1671,zloeK1UZU_8,1,Grease,Frankie Valli,00:03:13,193,00:06:26,193
1672,zloeK1UZU_8,2,Summer Nights,John Travolta & Olivia Newton-John,00:08:15,495,00:11:48,213
1673,zloeK1UZU_8,3,Look at Me I'm Sandra Dee,Stockard Channing,00:15:20,920,00:16:49,89
1674,zloeK1UZU_8,4,Hopelessly Devoted,Olivia Newton-John,00:17:50,1070,00:20:56,186
1675,zloeK1UZU_8,5,Greased Lightning,John Travolta & Jeff Conaway,00:24:00,1440,00:27:25,205
1676,zloeK1UZU_8,6,Those Magic Changes,Sha Na Na,00:33:45,2025,00:36:05,140
1677,zloeK1UZU_8,7,Sandy,John Travolta,00:44:50,2690,00:47:21,151
1678,zloeK1UZU_8,8,Beauty School Dropout,Frankie Avalon (Grease),00:48:50,2930,00:52:54,244
1679,zloeK1UZU_8,9,There Are Worse Things I Could Do,Stockard Channing,00:54:40,3280,00:56:57,137
1680,zloeK1UZU_8,10,You're The One That I Want,John Travolta & Olivia Newton-John,01:10:36,4236,01:13:25,169
1681,zloeK1UZU_8,11,We Go Together,John Travolta & Olivia Newton-John,01:13:30,4410,01:16:27,177
